"Name","State","Notes","User","Tags","Created","Runtime","Sweep","adversarial_args.attack_env","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","data_args.dataset","data_args.is_iid","model_args.model","network_args","Round","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall","cos_192.168.50.10:46538","cos_192.168.50.10:46558","cos_192.168.50.11:46539","cos_192.168.50.11:46559","cos_192.168.50.2:46530","cos_192.168.50.2:46550","cos_192.168.50.3:46531","cos_192.168.50.3:46551","cos_192.168.50.4:46532","cos_192.168.50.4:46552","cos_192.168.50.5:46533","cos_192.168.50.5:46553","cos_192.168.50.6:46534","cos_192.168.50.6:46554","cos_192.168.50.7:46535","cos_192.168.50.7:46555","cos_192.168.50.8:46536","cos_192.168.50.8:46556","cos_192.168.50.9:46537","cos_192.168.50.9:46557","epoch","trainer/global_step","val_loss_192.168.50.10:46538","val_loss_192.168.50.11:46539","val_loss_192.168.50.2:46530","val_loss_192.168.50.3:46531","val_loss_192.168.50.4:46532","val_loss_192.168.50.5:46533","val_loss_192.168.50.6:46534","val_loss_192.168.50.7:46535","val_loss_192.168.50.8:46536","val_loss_192.168.50.9:46537","cos_192.168.50.10:46518","cos_192.168.50.10:46598","cos_192.168.50.10:46608","cos_192.168.50.11:46519","cos_192.168.50.11:46599","cos_192.168.50.11:46609","cos_192.168.50.2:46510","cos_192.168.50.2:46590","cos_192.168.50.2:46600","cos_192.168.50.3:46511","cos_192.168.50.3:46591","cos_192.168.50.3:46601","cos_192.168.50.4:46512","cos_192.168.50.4:46592","cos_192.168.50.4:46602","cos_192.168.50.5:46513","cos_192.168.50.5:46593","cos_192.168.50.5:46603","cos_192.168.50.6:46514","cos_192.168.50.6:46594","cos_192.168.50.6:46604","cos_192.168.50.7:46515","cos_192.168.50.7:46595","cos_192.168.50.7:46605","cos_192.168.50.8:46516","cos_192.168.50.8:46596","cos_192.168.50.8:46606","cos_192.168.50.9:46517","cos_192.168.50.9:46597","cos_192.168.50.9:46607","val_loss_192.168.50.10:46518","val_loss_192.168.50.10:46558","val_loss_192.168.50.11:46519","val_loss_192.168.50.11:46559","val_loss_192.168.50.2:46510","val_loss_192.168.50.2:46550","val_loss_192.168.50.3:46511","val_loss_192.168.50.3:46551","val_loss_192.168.50.4:46512","val_loss_192.168.50.4:46552","val_loss_192.168.50.5:46513","val_loss_192.168.50.5:46553","val_loss_192.168.50.6:46514","val_loss_192.168.50.6:46554","val_loss_192.168.50.7:46515","val_loss_192.168.50.7:46555","val_loss_192.168.50.8:46516","val_loss_192.168.50.8:46556","val_loss_192.168.50.9:46517","val_loss_192.168.50.9:46557"
"participant_0","finished","-","janousy","","2023-06-12T11:31:59.000Z","1287","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.246510","10","0.21","0.009345794392523364","0.9608258008956908","0.9581899046897888","0.09468436241149902","0.9640592932701112","0.9608258008956908","0.9758430123329164","0.9756267666816713","0.9757194519042968","0.9758430123329164","0.9000000953674316","0.9000000953674316","0.029042545706033707","0.9000000953674316","0.9000000953674316","0.994497299194336","0.9944632053375244","0.9944357872009276","0.994497299194336","0.923148274421692","0.920787274837494","0.14526712894439697","0.9326722025871276","0.923148274421692","0.9547201991081238","0.9540197253227234","0.955848217010498","0.9547201991081238","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.975757896900177","","","0.9786915183067322","","","","","","0.9745462536811828","","","0.9800264239311218","","","0.9896023869514464","","","0.980844259262085","","","0.979042112827301","","","0.06238441541790962","","","0.9747002720832824","","","0.13341057021170857","","0.05573746041045524","","","","0.14701843334296427","","0.12189827335532756","","0.1022301268785668","","0.0033297495715487457","","0.06359164192690514","","77471.7421875","","0.10257314940099604",""
"participant_9","finished","-","janousy","","2023-06-12T11:31:01.000Z","1349","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.1146519","10","0.17","0","0.9653764367103576","0.962209165096283","0.10922840982675552","0.9683257937431335","0.9653764367103576","0.9792789220809937","0.9794987440109252","0.979771375656128","0.9792789220809937","1.0000001192092896","1.0000001192092896","0.0005170775693841279","1.0000001192092896","1.0000001192092896","0.999085545539856","0.9990803599357604","0.9990763068199158","0.999085545539856","0.9290741682052612","0.926203727722168","0.10445965826511384","0.9302711486816406","0.9290741682052612","0.9722859859466552","0.9728628396987916","0.9738994836807252","0.9722859859466552","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.9761745929718018","","","","","","0.9786915183067322","","","0.9773152470588684","","","0.9817240238189696","","","0.9830775260925292","","","0.983177661895752","","","0.9823741912841796","","","0.06654803454875946","","","0.9779558181762696","","","0.06928907564724796","","","","0.13597219762050372","","0.15370999090373516","","0.04375897361023817","","0.05818030570662813","","0.06358965269600958","","0.14062251930414504","","80775.81640625","","0.08628878757735947",""
"participant_6","finished","-","janousy","","2023-06-12T11:31:01.000Z","1351","","Model Poisoning","Model Poisoning","true","salt","10","0.8","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.846516","10","0","0","0.26760753989219666","0.15370747447013855","51.69619369506836","0.1398557275533676","0.26760753989219666","0.2857309579849243","0.1704787015914917","0.1801656186580658","0.2857309579849243","0.9666667580604552","0.9688889384269714","0.04651565849781037","0.9800000786781312","0.9666667580604552","0.9428242444992064","0.9428859353065492","0.9429792761802672","0.9428242444992064","0.8809987306594849","0.8728053569793701","0.7740983963012695","0.8961156010627747","0.8809987306594849","0.9089359641075134","0.9088493585586548","0.9117704033851624","0.9089359641075134","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.06242728605866432","","","0.06654803454875946","","","0.06238441541790962","","","0.06983518600463867","","","0.0710933580994606","","","0.06649580597877502","","","0.06401705741882324","","","0.06417763978242874","","","","","","0.07304799556732178","","","0.20321957767009735","","0.11906730057670956","","0.25986155370173947","","0.09475330821976512","","0.3150405869819224","","0.08900202659424394","","0.20412833429395505","","0.12644052108953474","","","","0.06062009150241465",""
"participant_5","finished","-","janousy","","2023-06-12T11:31:01.000Z","1350","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.746515","10","0.185","0.010526315789473684","0.9701613783836364","0.9690067172050476","0.06171689927577973","0.9721736311912536","0.9701613783836364","0.984730303287506","0.984713613986969","0.9848445653915404","0.984730303287506","1.0000001192092896","1.0000001192092896","0.0013481032801792026","1.0000001192092896","1.0000001192092896","0.9973798394203186","0.997382879257202","0.9973876476287842","0.9973798394203186","0.9223811030387878","0.9149039387702942","0.14877162873744965","0.9201853275299072","0.9223811030387878","0.957680344581604","0.9575784802436828","0.9583405256271362","0.957680344581604","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.976114809513092","","","0.9823741912841796","","","0.979042112827301","","","0.9811747074127196","","","0.9833662509918212","","","0.9919180870056152","","","0.9817479252815248","","","","","","0.06417763978242874","","","0.9795671105384828","","","0.15433219727128744","","0.16745532826462295","","0.08340799834195423","","0.1210073936963454","","0.059787490866142434","","0.03732522437201169","","0.43432623939588666","","","","87709.8046875","","0.058577104355208576",""
"participant_2","finished","-","janousy","","2023-06-12T11:31:01.000Z","1350","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.446512","10","0.232","0.00925925925925926","0.9205529689788818","0.9155631065368652","0.14321734011173248","0.9212826490402222","0.9205529689788818","0.966641902923584","0.9668015241622924","0.9675475358963012","0.966641902923584","0.9000000953674316","0.9000000953674316","0.0001723513414617628","0.9000000953674316","0.9000000953674316","0.998157560825348","0.9981504082679749","0.9981436133384703","0.998157560825348","0.9272223711013794","0.9151408076286316","0.1268102079629898","0.9170372486114502","0.9272223711013794","0.9618931412696838","0.961142361164093","0.961712121963501","0.9618931412696838","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.9757583141326904","","","0.9817240238189696","","","0.9800264239311218","","","0.9818024039268494","","","","","","0.9831657409667968","","","0.9828026294708252","","","0.9833662509918212","","","0.0710933580994606","","","0.9830639362335204","","","0.2956021394347772","","0.13367648562415724","","0.2171661234460771","","0.08822355279630756","","","","0.2626087405005819","","0.2129872962832451","","0.03170275529180344","","87091.951171875","","0.09735663139849748",""
"participant_3","finished","-","janousy","","2023-06-12T11:31:01.000Z","1348","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.546513","10","0.2","0","0.9495086073875428","0.9468926191329956","0.09802140295505524","0.9502790570259094","0.9495086073875428","0.9743714928627014","0.9743805527687072","0.9745942950248718","0.9743714928627014","1.0000001192092896","1.0000001192092896","0.0017435266636312008","1.0000001192092896","1.0000001192092896","0.9996519088745116","0.999641180038452","0.9996310472488404","0.9996519088745116","0.9396296739578248","0.9359655380249025","0.10921326279640198","0.9444841742515564","0.9396296739578248","0.9753085374832152","0.9752918481826782","0.9761347770690918","0.9753085374832152","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.978419840335846","","","0.9830775260925292","","","0.9803044199943542","","","0.9809238910675048","","","0.9831657409667968","","","","","","0.98260897397995","","","0.9845479130744934","","","0.07000979036092758","","","0.9778807759284972","","","0.022675079372220353","","0.046737326500988274","","0.11263391695683822","","0.1663848122661875","","0.14090247184503824","","","","0.15660070593003184","","0.09914132440462708","","78460.04296875","","0.6842446994269267",""
"participant_4","finished","-","janousy","","2023-06-12T11:31:01.000Z","1345","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.646514","10","0.199","0.01098901098901099","0.9120123386383056","0.9087745547294616","0.09603600949048996","0.9150270223617554","0.9120123386383056","0.9718961119651794","0.9704005122184752","0.9694424867630004","0.9718961119651794","1.0000001192092896","1.0000001192092896","0.010721787810325624","1.0000001192092896","1.0000001192092896","0.9971076846122742","0.9971171617507936","0.9971287846565248","0.9971076846122742","0.9351235628128052","0.9254315495491028","0.09765007346868516","0.9311972856521606","0.9351235628128052","0.9647404551506042","0.9651648998260498","0.9660454392433168","0.9647404551506042","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.9793923497200012","","","0.983177661895752","","","0.980844259262085","","","0.9766348004341124","","","0.9828026294708252","","","0.98260897397995","","","","","","0.9817479252815248","","","0.06401705741882324","","","0.9789042472839355","","","0.10600567597398936","","0.04555918602272868","","0.16934943455271423","","0.07785427615954177","","0.055536994521389715","","0.08050267203361727","","","","0.03505955613218248","","68772.529296875","","0.23224332742393017",""
"participant_1","finished","-","janousy","","2023-06-12T11:31:01.000Z","1342","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.346511","10","0.231","0.010101010101010102","0.9419817328453064","0.9375834465026855","0.1475781947374344","0.9451576471328736","0.9419817328453064","0.9701970219612122","0.9698959589004515","0.9698441624641418","0.9701970219612122","1.0000001192092896","1.0000001192092896","0.004248525481671095","1.0000001192092896","1.0000001192092896","0.998518407344818","0.9985207319259644","0.9985251426696776","0.998518407344818","0.9198545813560486","0.9139212369918824","0.0989951565861702","0.9161840081214904","0.9198545813560486","0.9715490341186525","0.972015142440796","0.972950518131256","0.9715490341186525","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.9714288711547852","","","0.9773152470588684","","","0.9745462536811828","","","","","","0.9818024039268494","","","0.9809238910675048","","","0.9766348004341124","","","0.9811747074127196","","","0.06983518600463867","","","0.977060079574585","","","0.1858258972351905","","0.16887607493117684","","0.06505717145046219","","","","0.06102521914726822","","0.08729806289920816","","0.0898038593295496","","0.07804396934420765","","79211.802734375","","0.04364974956115475",""
"participant_8","finished","-","janousy","","2023-06-12T11:31:00.000Z","1350","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.1046518","10","0.133","0","0.988494634628296","0.9872604608535768","0.0295169185847044","0.9893011450767516","0.988494634628296","0.9907925724983216","0.9908490777015686","0.9909972548484802","0.9907925724983216","1.0000001192092896","1.0000001192092896","0.00255759060382843","1.0000001192092896","1.0000001192092896","0.9979069828987122","0.9978960752487184","0.9978862404823304","0.9979069828987122","0.9492989778518676","0.9454876780509948","0.1440078169107437","0.9518386125564576","0.9492989778518676","0.9675787091255188","0.9670060276985168","0.9670796394348145","0.9675787091255188","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","0.9761745929718018","","","0.975757896900177","","","0.9714288711547852","","","0.9757583141326904","","","0.978419840335846","","","0.9793923497200012","","","0.976114809513092","","","0.06242728605866432","","","0.971449851989746","","","","","0.9332028273493052","","0.13660435418205452","","0.21030191329805348","","0.08506352128688377","","0.2637780866061803","","0.16643423548748615","","0.09178893583884928","","74064.71875","","0.1992783130990574",""
"participant_7","finished","-","janousy","","2023-06-12T11:31:00.000Z","1350","","Model Poisoning","No Attack","true","salt","10","0","0","7","3","false","Sentinel","MNIST","true","MLP","192.168.50.946517","10","0.184","0","0.9871505498886108","0.9870738983154296","0.012583069503307344","0.9877650141716005","0.9871505498886108","0.995993673801422","0.995966911315918","0.9959769248962402","0.995993673801422","1.0000001192092896","1.0000001192092896","0.0002039130631601438","1.0000001192092896","1.0000001192092896","0.9989182949066162","0.9989163875579834","0.9989151358604432","0.9989182949066162","0.9320767521858216","0.9282872080802916","0.15746793150901794","0.934398353099823","0.9320767521858216","0.9677353501319884","0.9670792818069458","0.9667342901229858","0.9677353501319884","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","0.971449851989746","","","0.9779558181762696","","","0.9747002720832824","","","0.977060079574585","","","0.9830639362335204","","","0.9778807759284972","","","0.9789042472839355","","","0.9795671105384828","","","0.07304799556732178","","","","","","0.16629656936856918","","0.4308619722723961","","0.8786654388532043","","0.12888389327781624","","0.12154586768701849","","0.10857355311304671","","0.06603327243942658","","0.0797875069984002","","64265.453125","","",""
