"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env.attack","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","attack_env.attack","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","aggregator_args.sentinel_loss_threshold","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","aggregator_args.sentinelglobal_active_round","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","epoch","Test/ASR-targeted","trainer/global_step","Test/ASR-backdoor","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Round"
"participant_0","finished","-","janousy","","2023-07-10T19:22:31.000Z","501","","03xp60q6","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:52.000Z","71496f81aadf","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.2:46860","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.00974025974025974","0.8710677027702332","0.8589888215065002","0.3231615424156189","0.8755324482917786","0.8710677027702332","0.8963491916656494","0.8967299461364746","0.8977976441383362","0.8963491916656494","10"
"participant_4","finished","-","janousy","","2023-07-10T19:21:34.000Z","556","","xx5ofiri","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:50.000Z","d3a1bd6e393a","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.6:46864","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.009857612267250822","0.8476536273956299","0.8313628435134888","0.3512069582939148","0.8447310924530029","0.8476536273956299","0.8775374293327332","0.8764840364456177","0.8764982223510742","0.8775374293327332","10"
"participant_3","finished","-","janousy","","2023-07-10T19:21:34.000Z","556","","oiu8fnue","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:50.000Z","9dc7befa8636","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.5:46863","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.014023732470334413","0.8326421976089478","0.8130488395690918","0.388935923576355","0.8256259560585022","0.8326421976089478","0.8611996173858643","0.8600923418998718","0.8619871139526367","0.8611996173858643","10"
"participant_7","finished","-","janousy","","2023-07-10T19:21:34.000Z","553","","lfwcz9ra","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:47.000Z","4075b8482afe","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.9:46867","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.007751937984496124","0.8772312998771667","0.8629067540168762","0.29872193932533264","0.8755568265914917","0.8772312998771667","0.8981001973152161","0.8962289690971375","0.8980869650840759","0.8981001973152161","10"
"participant_1","finished","-","janousy","","2023-07-10T19:21:34.000Z","555","","diy6rxtw","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:49.000Z","7e2670b53927","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.3:46861","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.007616974972796518","0.8474323153495789","0.8340411186218262","0.30476751923561096","0.8473465442657471","0.8474323153495789","0.8766902685165405","0.8787587285041809","0.8834562301635742","0.8766902685165405","10"
"participant_2","finished","-","janousy","","2023-07-10T19:21:34.000Z","557","","cao5hjp7","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:51.000Z","44b552014ffc","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.4:46862","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.006557377049180328","0.848072350025177","0.8354822993278503","0.37474656105041504","0.849514901638031","0.848072350025177","0.8814458847045898","0.8813381195068359","0.8838579654693604","0.8814458847045898","10"
"participant_8","finished","-","janousy","","2023-07-10T19:21:34.000Z","557","","2fwgi50x","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:51.000Z","2c7dfc635886","","","","","","Label Flipping","false","Label Flipping","true","salt","10","0","0.3","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.10:46868","0.5","salt","10","0","30","3","salt","10","0","30","0","0.022727272727272728","0","0.0010070493454179257","0.638274610042572","0.6201366782188416","1.1585503816604614","0.6656476855278015","0.638274610042572","0.6801966428756714","0.6831339597702026","0.7029346823692322","0.6801966428756714","10"
"participant_9","finished","-","janousy","","2023-07-10T19:21:33.000Z","561","","zr9005wi","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:54.000Z","feab10f5a28b","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.11:46869","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.004296455424274973","0.874470055103302","0.8552636504173279","0.33055463433265686","0.8672388792037964","0.874470055103302","0.8860273957252502","0.8832209706306458","0.8838616609573364","0.8860273957252502","10"
"participant_6","finished","-","janousy","","2023-07-10T19:21:33.000Z","561","","novoroj6","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:54.000Z","d27a4b6ea95f","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.8:46866","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.006543075245365322","0.8312342166900635","0.8108565211296082","0.3556419610977173","0.8266206383705139","0.8312342166900635","0.8697926998138428","0.8685154318809509","0.8697345852851868","0.8697926998138428","10"
"participant_5","finished","-","janousy","","2023-07-10T19:21:33.000Z","555","","8vh69s4m","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S30_R0_salt_20230710_192116","","2023-07-10T20:51:14.000Z","2023-07-10T19:30:48.000Z","b3745851699f","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.7:46865","0.5","salt","10","0","30","3","salt","10","0","30","0","0","0","0.013143483023001097","0.8450421690940857","0.8293918967247009","0.43173912167549133","0.8427842259407043","0.8450421690940857","0.8673246502876282","0.8673098087310791","0.8688074946403503","0.8673246502876282","10"
"participant_0","finished","-","janousy","","2023-07-10T19:12:22.000Z","494","","qyhep31d","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_0_N10-S50_R0_salt_20230710_191107","","2023-07-10T20:51:15.000Z","2023-07-10T19:20:36.000Z","612e24542048","","","","","","Label Flipping","false","No Attack","true","salt","10","0","0","7","3","false","SentinelGlobal","Label Flipping","false","FASHIONMNIST","true","MLP","192.168.50.2:46850","0.5","salt","10","0","50","3","salt","10","0","50","0","0","0","0.01511879049676026","0.8708449602127075","0.857491672039032","0.32777437567710876","0.8701536059379578","0.8708449602127075","0.8945050239562988","0.8952118158340454","0.8962389230728149","0.8945050239562988","10"
