"Step","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/F1Score__MAX","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/F1Score__MAX","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/F1Score__MAX","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/F1Score__MAX","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/F1Score__MAX","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/F1Score","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/F1Score__MIN","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/F1Score__MAX"
"1","0.017747495789080858","0.015215613879263401","0.019463948905467987","0.01778200250118971","0.015537351369857788","0.020553262904286385","0.0177729245275259","0.016182301566004753","0.019989050924777985","0.01774414796382189","0.015693843364715576","0.021112464368343353","0.01775203924626112","0.015338956378400326","0.01969943754374981","0.017747495789080858","0.015215613879263401","0.019463948905467987"
"48","","","","","","","","","","0.21485642045736314","0.20474041998386383","0.22351188957691193","0.22777691334486008","0.20426954329013824","0.25109782814979553","0.4680402219295502","0.4328958988189697","0.501899778842926"
"57","","","","","","","0.22301954925060272","0.1807885617017746","0.24731133878231049","","","","","","","","",""
"95","","","","","","","","","","0.5009870260953904","0.47677698731422424","0.555615246295929","0.5295895576477051","0.5065140724182129","0.5875000953674316","0.5521838366985321","0.5090000629425049","0.5872825384140015"
"113","","","","","","","0.5532144010066986","0.5275490283966064","0.59675532579422","","","","","","","","",""
"142","","","","","","","","","","0.592117041349411","0.5682156682014465","0.6439864039421082","0.6119281828403473","0.5892478823661804","0.652996301651001","0.5627734005451203","0.5456812977790833","0.583596408367157"
"169","","","","","","","0.6099855303764343","0.5770328640937805","0.6465449333190918","","","","","","","","",""
"189","","","","","","","","","","0.6477074563503266","0.631178617477417","0.689280092716217","0.6571032106876373","0.6291027665138245","0.7024298906326294","0.5885499536991119","0.5592951774597168","0.6183240413665771"
"225","","","","","","","0.6533663153648377","0.6262160539627075","0.6792530417442322","","","","","","","","",""
"236","","","","","","","","","","0.6813720345497132","0.666153073310852","0.7228986024856567","0.6846453726291657","0.6628000736236572","0.7226603627204895","0.6079470813274384","0.5836204886436462","0.6343225240707397"
"281","","","","","","","0.691939240694046","0.6701954007148743","0.7254852652549744","","","","","","","","",""
"283","","","","","","","","","","0.7027204692363739","0.6848994493484497","0.7359440326690674","0.7137714147567749","0.694707989692688","0.747520923614502","0.6374748170375824","0.598449170589447","0.6505894660949707"
"330","","","","","","","","","","0.7239380776882172","0.70372474193573","0.7508530020713806","0.7295455396175384","0.7155460715293884","0.7617939710617065","0.670999264717102","0.6484789252281189","0.7017745971679688"
"337","","","","","","","0.707662683725357","0.6861735582351685","0.733280599117279","","","","","","","","",""
"377","","","","","","","","","","0.7368697762489319","0.7155460119247437","0.7653025388717651","0.740563589334488","0.7238988280296326","0.7780287861824036","0.6574599981307984","0.6390236020088196","0.6738826036453247"
"393","","","","","","","0.7291009366512299","0.7034595012664795","0.7555162906646729","","","","","","","","",""
