"Step","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Recall","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Recall__MAX","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Recall","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Recall__MAX","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Recall","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Recall__MAX","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Recall","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Recall__MAX","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Recall","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Recall__MAX","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Recall","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Recall__MIN","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Recall__MAX"
"1","0.09557475224137306","0.08749613910913467","0.10139784961938858","0.06054800264537334","0.0405760332942009","0.07149001210927963","0.07094597816467285","0.05083717405796051","0.08301075547933578","0.08492574840784073","0.07498208433389664","0.09115973860025406","0.09774190932512283","0.09354836493730545","0.09999997168779373","0.0960483692586422","0.08467741310596466","0.09892471879720688"
"34","","","","","","","","","","0.7947480142116546","0.7704774141311646","0.825407087802887","0.7938269555568696","0.7675012946128845","0.8203175067901611","0.7643295168876648","0.7345212697982788","0.789811909198761"
"43","","","","","","","0.7880455255508423","0.7559076547622681","0.8148003220558167","","","","","","","","",""
"67","","","","","","","","","","0.8238541483879089","0.7883616089820862","0.8447850346565247","0.8195917308330536","0.7714492082595825","0.8399270176887512","0.8139524161815643","0.7815297245979309","0.836351752281189"
"85","","","","","","","0.8194206058979034","0.7912687659263611","0.8399847149848938","","","","","","","","",""
"100","","","","","","","","","","0.8322021126747131","0.8076128363609314","0.8530799150466919","0.8291141271591187","0.7978854179382324","0.8476921319961548","0.8161305069923401","0.7990630865097046","0.8386175632476807"
"113","","","","0.7869341194629669","0.7470404505729675","0.8216552734375","","","","","","","","","","","",""
"122","0.7849959552288055","0.7452599406242371","0.8178494572639465","","","","","","","","","","","","","","",""
"127","","","","","","","0.8253835022449494","0.7914031147956848","0.8481953144073486","","","","","","","","",""
"133","","","","","","","","","","0.8370331943035125","0.8129968047142029","0.8604071736335754","0.8377306580543518","0.8171788454055786","0.866294264793396","0.8113780379295349","0.7809499502182007","0.8354032635688782"
"166","","","","","","","","","","0.8418154954910279","0.8210920691490173","0.8722082376480103","0.8427942514419555","0.8225244879722595","0.865368664264679","0.8223277270793915","0.795569658279419","0.8414056301116943"
"169","","","","","","","0.8345945656299592","0.8103084564208984","0.8588710427284241","","","","","","","","",""
"199","","","","","","","","","","0.8437168061733246","0.8178931474685669","0.8696544766426086","0.8443506538867951","0.8256158232688904","0.8712441921234131","0.8314280033111572","0.8106862306594849","0.8579800128936768"
"211","","","","","","","0.8373592138290405","0.8090220093727112","0.8638250231742859","","","","","","","","",""
"225","","","","0.8019167423248291","0.7739440202713013","0.829795241355896","","","","","","","","","","","",""
"232","","","","","","","","","","0.8447048664093018","0.8206886649131775","0.8730377554893494","0.8491329669952392","0.8326088786125183","0.8740399479866028","0.8243020236492157","0.8026702404022217","0.8586789965629578"
