"Step","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score__MIN","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score__MAX","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score__MIN","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score__MAX","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score__MIN","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score__MAX","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score__MIN","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score__MAX","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score__MIN","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score__MAX","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score__MIN","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score__MAX"
"1","0.02206566007807851","0.01475303340703249","0.030325211584568024","0.022858487255871297","0.018848169595003128","0.030323974788188934","0.043661411851644516","0.03769577667117119","0.055423058569431305","0.025033346191048623","0.021307993680238724","0.028743527829647064","0.027678157947957516","0.022471286356449127","0.034865036606788635","0.021022042073309422","0.01871996559202671","0.024896247312426567"
"34","","","","","","","","","","0.8905938684940338","0.8290716409683228","0.964216411113739","0.8987708985805511","0.8388310074806213","0.9673218727111816","0.8851355254650116","0.8327949047088623","0.9670951962471008"
"43","","","","","","","0.8983758866786957","0.840308666229248","0.9683664441108704","","","","","","","","",""
"67","","","","","","","","","","0.9242271780967712","0.8739603161811829","0.973837673664093","0.926977562904358","0.8793513178825378","0.9746900200843811","0.9060311198234559","0.8474847674369812","0.9740946292877197"
"85","","","","","","","0.9269637882709503","0.8738120794296265","0.9776137471199036","","","","","","","","",""
"100","","","","","","","","","","0.9354773998260498","0.8882486820220947","0.9822452664375305","0.9387594997882843","0.8980157375335693","0.9812978506088257","0.9110281586647033","0.8471108675003052","0.9674819707870483"
"113","","","","0.8873633146286011","0.8244920372962952","0.961447536945343","","","","","","","","","","","",""
"122","0.8901145577430725","0.8443582057952881","0.956161379814148","","","","","","","","","","","","","","",""
"127","","","","","","","0.9382887542247772","0.8877235054969788","0.983609676361084","","","","","","","","",""
"133","","","","","","","","","","0.9409828424453736","0.8980098962783813","0.9814181923866272","0.943347305059433","0.9023259878158569","0.9832882285118103","0.9208266913890839","0.8779045343399048","0.971082866191864"
"166","","","","","","","","","","0.9454567551612854","0.8997952938079834","0.9854838252067566","0.9467561423778534","0.9046348333358765","0.9839478135108948","0.9214256048202515","0.864052951335907","0.9799113869667053"
"169","","","","","","","0.9438301086425781","0.8926096558570862","0.9845773577690125","","","","","","","","",""
"199","","","","","","","","","","0.9472354114055633","0.8981441855430603","0.9862006902694702","0.9493511319160461","0.9081308841705322","0.9825140833854675","0.93340083360672","0.8892059326171875","0.9719634056091309"
"211","","","","","","","0.9476912975311279","0.8995506167411804","0.9847119450569153","","","","","","","","",""
"225","","","","0.9025926530361176","0.8496628999710083","0.9718158841133118","","","","","","","","","","","",""
