"Step","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/Loss","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/Loss__MIN","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/Loss__MAX","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/Loss","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/Loss__MIN","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/Loss__MAX","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/Loss","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/Loss__MIN","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/Loss__MAX","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/Loss","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/Loss__MIN","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/Loss__MAX","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/Loss","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/Loss__MIN","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/Loss__MAX","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/Loss","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/Loss__MIN","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/Loss__MAX"
"1","2.304014563560486","2.302375078201294","2.306004047393799","2.302426791191101","2.2987210750579834","2.3057169914245605","2.3065335750579834","2.3025598526000977","2.310244083404541","2.3093435287475588","2.3074092864990234","2.3130834102630615","2.3053270101547243","2.3020904064178467","2.3088133335113525","2.3008407592773437","2.2979578971862793","2.3031246662139893"
"34","","","","","","","","","","0.2663064695894718","0.11774476617574692","0.36270996928215027","0.2462367944419384","0.10181970149278641","0.34862837195396423","0.27306794077157975","0.09382553398609161","0.41534528136253357"
"43","","","","","","","0.24897407963871956","0.10269234329462051","0.3515579104423523","","","","","","","","",""
"67","","","","","","","","","","0.14936515279114246","0.062304895371198654","0.22421018779277802","0.14198653623461724","0.05674920976161957","0.22445517778396606","0.22612710893154145","0.08640128374099731","0.3805660605430603"
"85","","","","","","","0.14383432157337667","0.05114900320768356","0.2230852246284485","","","","","","","","",""
"100","","","","","","","","","","0.11254202201962471","0.033233437687158585","0.1734255999326706","0.10636945888400078","0.03285862132906914","0.1843443214893341","0.2405487947165966","0.07457157969474792","0.3945070803165436"
"113","","","","0.2590920999646187","0.10536971688270569","0.35582366585731506","","","","","","","","","","","",""
"122","0.25432362258434293","0.11467500030994415","0.38768458366394043","","","","","","","","","","","","","","",""
"127","","","","","","","0.1087451621890068","0.03495817258954048","0.17928959429264069","","","","","","","","",""
"133","","","","","","","","","","0.09672313816845417","0.02688511088490486","0.14736409485340118","0.09370166528970003","0.0224138256162405","0.1701223999261856","0.169023447483778","0.060190729796886444","0.26445621252059937"
"166","","","","","","","","","","0.08705697003751993","0.0169739481061697","0.13567040860652924","0.08540476337075234","0.019761741161346436","0.15818174183368683","0.2064642071723938","0.06595929712057114","0.36563345789909363"
"169","","","","","","","0.09619054608047009","0.024445492774248123","0.1657308042049408","","","","","","","","",""
"199","","","","","","","","","","0.0828920022584498","0.01559694204479456","0.13439597189426422","0.08089919537305831","0.017612377181649208","0.14885221421718597","0.14394460506737233","0.042403604835271835","0.25191161036491394"
"211","","","","","","","0.08725844584405422","0.023211870342493057","0.148523211479187","","","","","","","","",""
"225","","","","0.20756260752677919","0.08028881251811981","0.29673755168914795","","","","","","","","","","","",""
