"Step","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/Loss","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230712_112450 - Test/Loss__MAX","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/Loss","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230712_111334 - Test/Loss__MAX","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/Loss","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_171650 - Test/Loss__MAX","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/Loss","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_170534 - Test/Loss__MAX","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/Loss","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_165418 - Test/Loss__MAX","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/Loss","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/Loss__MIN","Group: CIFAR10_1_simplemobilenet_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_164302 - Test/Loss__MAX"
"1","2.3030076742172243","2.300790548324585","2.304456949234009","2.3029083728790285","2.3011302947998047","2.3049840927124023","2.302966332435608","2.3018012046813965","2.303689956665039","2.303029465675354","2.300830364227295","2.3046457767486572","2.3029675006866457","2.3017044067382812","2.304799795150757","2.3031586408615112","2.3023698329925537","2.3044629096984863"
"48","","","","","","","","","","1.9467379927635193","1.915260910987854","1.9801039695739746","2.114844465255737","2.0589804649353027","2.1539738178253174","1.313510525226593","1.262529730796814","1.3675049543380737"
"57","","","","","","","1.8856758236885072","1.8293349742889404","1.9812391996383667","","","","","","","","",""
"95","","","","","","","","","","1.245004153251648","1.1817814111709595","1.293052077293396","1.1622933626174927","1.086053729057312","1.2274667024612427","1.1302427530288697","1.0822958946228027","1.181216835975647"
"113","","","","","","","1.1076919317245484","1.0103954076766968","1.2031099796295166","","","","","","","","",""
"142","","","","","","","","","","1.0034623980522155","0.9383570551872253","1.0549066066741943","0.9568968772888183","0.8940939903259277","1.0138731002807617","1.1404489636421205","1.0673904418945312","1.190269947052002"
"169","","","","","","","0.9527259469032288","0.8843502402305603","1.0023454427719116","","","","","","","","",""
"189","","","","","","","","","","0.8700537383556366","0.8123486638069153","0.9321060180664062","0.8385409712791443","0.7755504250526428","0.899832010269165","1.0907362222671508","1.0641028881072998","1.1330889463424683"
"225","","","","","","","0.8543704390525818","0.7889525294303894","0.9086951613426208","","","","","","","","",""
"236","","","","","","","","","","0.7816646516323089","0.7312294244766235","0.8353142142295837","0.7746926188468933","0.7260870337486267","0.8303148150444031","0.9815587520599365","0.9185110330581665","1.040587067604065"
"281","","","","","","","0.7571300685405731","0.7145476937294006","0.8130425214767456","","","","","","","","",""
"283","","","","","","","","","","0.7167976856231689","0.6770807504653931","0.7639731764793396","0.7053807079792023","0.6528841853141785","0.7407301068305969","0.920740270614624","0.8567455410957336","0.9586132168769836"
"330","","","","","","","","","","0.6716371059417725","0.6297736763954163","0.7172086834907532","0.6583966970443725","0.6177664399147034","0.6919336915016174","0.832192987203598","0.7680333852767944","0.8756580352783203"
"337","","","","","","","0.7225528299808502","0.6764172315597534","0.7958564162254333","","","","","","","","",""
"377","","","","","","","","","","0.6448230147361755","0.5937183499336243","0.6898232698440552","0.629060971736908","0.5819188356399536","0.6705266237258911","0.8824939608573914","0.8467139601707458","0.9543682932853699"
"393","","","","","","","0.6655228912830353","0.6274977922439575","0.7426676154136658","","","","","","","","",""
