"Step","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/F1Score","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/F1Score__MAX","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/F1Score","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/F1Score__MAX","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/F1Score","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/F1Score__MAX","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/F1Score","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/F1Score__MAX","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/F1Score","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/F1Score__MAX","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/F1Score","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/F1Score__MIN","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/F1Score__MAX"
"1","0.029001976922154428","0.02623479813337326","0.03381788730621338","0.02387686278671026","0.017418624833226204","0.03131798654794693","0.03366192281246185","0.0206634309142828","0.043523941189050674","0.03109377045184374","0.025466913357377052","0.037980545312166214","0.01772988708689809","0.015487107448279858","0.020357007160782814","0.019442578218877314","0.015998832881450653","0.022436683997511864"
"34","","","","","","","","","","0.7699960112571717","0.7416737079620361","0.803176999092102","0.770623242855072","0.7474250197410583","0.802357017993927","0.7312664031982422","0.6969879269599915","0.7596820592880249"
"43","","","","","","","0.7638669669628143","0.7269849181175232","0.7901656031608582","","","","","","","","",""
"67","","","","","","","","","","0.8037968397140502","0.768365740776062","0.8249172568321228","0.7993585884571075","0.7505689859390259","0.8191284537315369","0.7931659042835235","0.7634586095809937","0.812683641910553"
"85","","","","","","","0.7992669403553009","0.7712477445602417","0.8262535929679871","","","","","","","","",""
"100","","","","","","","","","","0.8143433213233948","0.7888835072517395","0.8334792256355286","0.8102125942707061","0.7779772281646729","0.8293248414993286","0.7953552901744843","0.7745559811592102","0.8153277039527893"
"113","","","","0.7634954214096069","0.7170739769935608","0.8021539449691772","","","","","","","","","","","",""
"122","0.7603995621204376","0.7100648283958435","0.7883269786834717","","","","","","","","","","","","","","",""
"127","","","","","","","0.8059329211711883","0.770896315574646","0.8261706829071045","","","","","","","","",""
"133","","","","","","","","","","0.8196726739406586","0.7956758141517639","0.8449886441230774","0.8194007396697998","0.8000490069389343","0.8471894264221191","0.7926666676998139","0.7666162252426147","0.8173573613166809"
"166","","","","","","","","","","0.8251138508319855","0.803672730922699","0.8575469255447388","0.8253169894218445","0.8055288791656494","0.8494012355804443","0.8014272570610046","0.7765979766845703","0.8186068534851074"
"169","","","","","","","0.8161166846752167","0.7910970449447632","0.8414949178695679","","","","","","","","",""
"199","","","","","","","","","","0.8263237357139588","0.8029914498329163","0.8525183796882629","0.8273984849452972","0.8064696788787842","0.8521834015846252","0.8118448615074157","0.7894101738929749","0.8342344164848328"
"211","","","","","","","0.8205928087234498","0.7937606573104858","0.8485246896743774","","","","","","","","",""
"225","","","","0.7793534934520722","0.7541161179542542","0.8113231658935547","","","","","","","","","","","",""
"232","","","","","","","","","","0.8285660862922668","0.8056719899177551","0.8578231334686279","0.8321081876754761","0.8127855062484741","0.854307234287262","0.8032580554485321","0.7823882102966309","0.8392044901847839"
