"Step","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Loss","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230711_093806 - Test/Loss__MAX","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Loss","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230711_092800 - Test/Loss__MAX","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Loss","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230711_091753 - Test/Loss__MAX","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Loss","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230711_090816 - Test/Loss__MAX","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Loss","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230711_085810 - Test/Loss__MAX","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Loss","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Loss__MIN","Group: FASHIONMNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230711_084834 - Test/Loss__MAX"
"1","2.304481029510498","2.3008828163146973","2.3084218502044678","2.3100754737854006","2.3074405193328857","2.3139138221740723","2.311751675605774","2.3089354038238525","2.3148200511932373","2.3002652406692503","2.298659563064575","2.3027379512786865","2.3044084787368773","2.2997524738311768","2.3082921504974365","2.3062938451766968","2.3013322353363037","2.309792995452881"
"34","","","","","","","","","","0.5726259589195252","0.5340145230293274","0.6111509203910828","0.571855616569519","0.5411505699157715","0.6152216196060181","0.5873248100280761","0.5388582348823547","0.6832046508789062"
"43","","","","","","","0.5697946965694427","0.5350596904754639","0.619541585445404","","","","","","","","",""
"67","","","","","","","","","","0.4236732840538025","0.3745195269584656","0.5090181231498718","0.42786256968975067","0.37584859132766724","0.5040072798728943","0.44738070070743563","0.396806925535202","0.5309277176856995"
"85","","","","","","","0.42660236060619355","0.37394219636917114","0.5051525831222534","","","","","","","","",""
"100","","","","","","","","","","0.39884471595287324","0.35178664326667786","0.4905269742012024","0.40438505411148074","0.3503073453903198","0.48517364263534546","0.44035615026950836","0.3684777617454529","0.5344651937484741"
"113","","","","0.5278356164693833","0.454959899187088","0.577480673789978","","","","","","","","","","","",""
"122","0.527972286939621","0.4848114252090454","0.5825551748275757","","","","","","","","","","","","","","",""
"127","","","","","","","0.4080345809459686","0.3492984473705292","0.487920343875885","","","","","","","","",""
"133","","","","","","","","","","0.3854351282119751","0.33196812868118286","0.47421571612358093","0.38036406636238096","0.32464927434921265","0.45923012495040894","0.442206072807312","0.3754814565181732","0.5402802228927612"
"166","","","","","","","","","","0.3701379507780075","0.31683775782585144","0.4551512897014618","0.3706059783697128","0.3182668387889862","0.4457382559776306","0.4358181834220886","0.36620885133743286","0.5256104469299316"
"169","","","","","","","0.3931400001049042","0.338329017162323","0.4732080399990082","","","","","","","","",""
"199","","","","","","","","","","0.36311531960964205","0.31061363220214844","0.4440421164035797","0.36533299684524534","0.31765809655189514","0.4326706528663635","0.4080509334802628","0.3498205840587616","0.4926179051399231"
"211","","","","","","","0.37807062864303587","0.32907193899154663","0.45224374532699585","","","","","","","","",""
"225","","","","0.541670048236847","0.5045417547225952","0.5923752188682556","","","","","","","","","","","",""
"232","","","","","","","","","","0.3568199187517166","0.3051545023918152","0.43444785475730896","0.35310162901878356","0.30129343271255493","0.42020198702812195","0.4248740941286087","0.35373982787132263","0.4967249631881714"
"243","0.5720797896385192","0.5455851554870605","0.6128954887390137","","","","","","","","","","","","","","",""
"253","","","","","","","0.36691432595252993","0.31431400775909424","0.4398687481880188","","","","","","","","",""
"265","","","","","","","","","","0.3449476659297943","0.28297367691993713","0.41827690601348877","0.3508117854595184","0.2966119647026062","0.41747739911079407","0.3856426626443863","0.32309356331825256","0.46589189767837524"
"295","","","","","","","0.3573625862598419","0.30575883388519287","0.4333656132221222","","","","","","","","",""
"298","","","","","","","","","","0.34669477343559263","0.28726425766944885","0.4205853343009949","0.3422642141580582","0.28949061036109924","0.4104970097541809","0.42299153506755827","0.3223015367984772","0.5495128035545349"
"331","","","","","","","","","","0.3419498324394226","0.2777118980884552","0.4185234010219574","0.343353471159935","0.29024985432624817","0.4119316637516022","0.3805663973093033","0.3066563010215759","0.4711395502090454"
"337","","","","0.41884145736694334","0.36657315492630005","0.49484026432037354","0.3510127902030945","0.2945593297481537","0.42078641057014465","","","","","","","","",""
"364","0.41085866987705233","0.35570216178894043","0.49588629603385925","","","","","","","","","","","","","","",""
"379","","","","","","","0.34905382096767423","0.2882082462310791","0.4212077856063843","","","","","","","","",""
"421","","","","","","","0.34329417645931243","0.284902960062027","0.41505277156829834","","","","","","","","",""
"449","","","","0.3888526052236557","0.33651497960090637","0.46517643332481384","","","","","","","","","","","",""
"495","0.3913548976182938","0.33737948536872864","0.4803284704685211","","","","","","","","","","","","","","",""
"561","","","","0.37582107782363894","0.3286789059638977","0.45158469676971436","","","","","","","","","","","",""
"626","0.3784708559513092","0.32601991295814514","0.4614088535308838","","","","","","","","","","","","","","",""
"673","","","","0.36857041120529177","0.31980207562446594","0.4436165690422058","","","","","","","","","","","",""
"757","0.3707032650709152","0.31254899501800537","0.44947266578674316","","","","","","","","","","","","","","",""
"785","","","","0.3584789037704468","0.30742624402046204","0.431041955947876","","","","","","","","","","","",""
"888","0.36338333785533905","0.31427404284477234","0.4306226670742035","","","","","","","","","","","","","","",""
"897","","","","0.35510378777980806","0.3048897981643677","0.42536887526512146","","","","","","","","","","","",""
"1009","","","","0.3566436439752579","0.30620625615119934","0.425442636013031","","","","","","","","","","","",""
"1019","0.35185048878192904","0.298480749130249","0.4250090718269348","","","","","","","","","","","","","","",""
"1121","","","","0.3482728242874146","0.29859769344329834","0.4261961281299591","","","","","","","","","","","",""
"1150","0.3487939894199371","0.29318612813949585","0.41918349266052246","","","","","","","","","","","","","","",""
"1281","0.3527315676212311","0.2926684617996216","0.4246915876865387","","","","","","","","","","","","","","",""
