"Name","adversarial_args.attacks","Test/Accuracy","Test/Loss","Hostname","Group","trainer/global_step","Round","adversarial_args.attack_env","State","Notes","User","Tags","Created","Runtime","Sweep","adversarial_args.noise_type","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_persent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","data_args.dataset","model_args.model","network_args","127.0.0.1:46505","127.0.0.1:46505 127.0.0.1:46506","127.0.0.1:46505 127.0.0.1:46507","127.0.0.1:46505 127.0.0.1:46508","127.0.0.1:46506","127.0.0.1:46506 127.0.0.1:46507","127.0.0.1:46506 127.0.0.1:46509 127.0.0.1:46505","127.0.0.1:46507","127.0.0.1:46508","127.0.0.1:46509","127.0.0.1:46509 127.0.0.1:46507","127.0.0.1:46509 127.0.0.1:46507 127.0.0.1:46505","Train/Loss","TrainEnd/Loss","Validation/Accuracy","Validation/Loss","epoch","127.0.0.1:46510","127.0.0.1:46511","127.0.0.1:46512","127.0.0.1:46513","127.0.0.1:46514","127.0.0.1:46520","127.0.0.1:46521","127.0.0.1:46522","127.0.0.1:46523","127.0.0.1:46524","127.0.0.1:46524 127.0.0.1:46520","127.0.0.1:46530","127.0.0.1:46531","127.0.0.1:46532","127.0.0.1:46533","127.0.0.1:46534","127.0.0.1:46540","127.0.0.1:46541","127.0.0.1:46542","127.0.0.1:46543","127.0.0.1:46544","127.0.0.1:46550","127.0.0.1:46551","127.0.0.1:46552","127.0.0.1:46553","127.0.0.1:46554","127.0.0.1:46513 127.0.0.1:46511","127.0.0.1:46515","127.0.0.1:46516","127.0.0.1:46517","127.0.0.1:46518","127.0.0.1:46519","127.0.0.1:46525","127.0.0.1:46526","127.0.0.1:46527","127.0.0.1:46528","127.0.0.1:46529","127.0.0.1:46535","127.0.0.1:46536","127.0.0.1:46537","127.0.0.1:46538","127.0.0.1:46539"
"participant_0","Model Poisoning","0.08900000154972076","4932.3408203125","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N80-S60_R20_gaussian_20230506_123649","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:37:20.000Z","284","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146550","","","","","","","","","","","","","48.98739242553711","52.909305572509766","0.7633333206176758","58.52702331542969","0","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_4","Model Poisoning","0.10100000351667404","5869.3779296875","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N80-S60_R20_gaussian_20230506_123649","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:37:18.000Z","291","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146554","","","","","","","","","","","","","82.482421875","67.15672302246094","0.8183333277702332","27.5170955657959","0","","","","","","","","","","","","","","","","","","","","","","0.197016179561615","0.16496644914150238","0.24317412078380585","0.2285736948251724","1","","","","","","","","","","","","","","","",""
"participant_3","Model Poisoning","0.1094999983906746","6228.5380859375","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N80-S60_R20_gaussian_20230506_123649","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:37:18.000Z","290","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146553","","","","","","","","","","","","","85.97865295410156","74.00527954101562","0.7774999737739563","39.16084289550781","0","","","","","","","","","","","","","","","","","","","","","","0.1982984095811844","0.14545448124408722","0.16292229294776917","1","0.2285736948251724","","","","","","","","","","","","","","","",""
"participant_2","Model Poisoning","0.09200000017881392","5508.650390625","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N80-S60_R20_gaussian_20230506_123649","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:37:17.000Z","291","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146552","","","","","","","","","","","","","22.4440975189209","78.9251937866211","0.7991666793823242","34.891075134277344","0","","","","","","","","","","","","","","","","","","","","","","0.2746318280696869","0.13867753744125366","1","0.16292229294776917","0.24317412078380585","","","","","","","","","","","","","","","",""
"participant_1","No Attack","0.9484999775886536","0.587109386920929","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N80-S60_R20_gaussian_20230506_123649","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:37:12.000Z","295","","salt","0","0","0","0","true","FlTrust","MNIST","MLP","127.0.0.146551","","","","","","","","","","","","","0.00005882661207579076","0.005114367231726646","0.9666666388511658","0.4037560522556305","0","","","","","","","","","","","","","","","","","","","","","","0.08056052774190903","1","0.13867753744125366","0.14545448124408722","0.16496644914150238","","","","","","","","","","","","","","","",""
"participant_0","Model Poisoning","0.09600000083446504","10362.83984375","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N60-S60_R20_gaussian_20230506_123341","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:34:12.000Z","301","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146545","","","","","","","","","","","","","36.220703125","71.34529876708984","0.7583333253860474","48.169334411621094","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","No Attack","0.9714999794960022","0.15987952053546906","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N60-S60_R20_gaussian_20230506_123341","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:34:08.000Z","304","","salt","0","0","0","0","true","FlTrust","MNIST","MLP","127.0.0.146547","","","","","","","","","","","","","0.000009882578524411656","0.002534080296754837","0.9683333039283752","0.27950525283813477","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","Model Poisoning","0.09350000321865082","7488.0166015625","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N60-S60_R20_gaussian_20230506_123341","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:34:08.000Z","302","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146549","","","","","","","","","","","","","111.6435546875","74.14672088623047","0.6233333349227905","85.82627868652344","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","Model Poisoning","0.10000000149011612","7090.13916015625","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N60-S60_R20_gaussian_20230506_123341","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:34:08.000Z","306","","salt","0.2","0.6","0","0","true","FlTrust","MNIST","MLP","127.0.0.146548","","","","","","","","","","","","","233.46290588378903","94.69044494628906","0.6208333373069763","172.65403747558594","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","No Attack","0.9649999737739564","0.25424665212631226","some-mba.fritz.box","MNIST_MLP_FlTrust_fully_ModelPoisoning_False_N60-S60_R20_gaussian_20230506_123341","0","10","","finished","-","janousy","ModelPoisoning","2023-05-06T10:34:03.000Z","308","","salt","0","0","0","0","true","FlTrust","MNIST","MLP","127.0.0.146546","","","","","","","","","","","","","0.000007003288828855148","0.00031027046497911215","0.975000023841858","0.19346247613430023","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
