"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env.attack","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","attack_env.attack","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","Round","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall","agg_weight_192.168.50.10:46518","agg_weight_192.168.50.10:46638","agg_weight_192.168.50.10:46648","agg_weight_192.168.50.11:46519","agg_weight_192.168.50.11:46639","agg_weight_192.168.50.11:46649","agg_weight_192.168.50.2:46510","agg_weight_192.168.50.2:46630","agg_weight_192.168.50.2:46640","agg_weight_192.168.50.3:46511","agg_weight_192.168.50.3:46631","agg_weight_192.168.50.3:46641","agg_weight_192.168.50.4:46512","agg_weight_192.168.50.4:46632","agg_weight_192.168.50.4:46642","agg_weight_192.168.50.5:46513","agg_weight_192.168.50.5:46633","agg_weight_192.168.50.5:46643","agg_weight_192.168.50.6:46514","agg_weight_192.168.50.6:46634","agg_weight_192.168.50.6:46644","agg_weight_192.168.50.7:46515","agg_weight_192.168.50.7:46635","agg_weight_192.168.50.7:46645","agg_weight_192.168.50.8:46516","agg_weight_192.168.50.8:46636","agg_weight_192.168.50.8:46646","agg_weight_192.168.50.9:46517","agg_weight_192.168.50.9:46637","agg_weight_192.168.50.9:46647","cos_192.168.50.10:46518","cos_192.168.50.10:46608","cos_192.168.50.10:46618","cos_192.168.50.10:46628","cos_192.168.50.10:46638","cos_192.168.50.10:46648","cos_192.168.50.11:46519","cos_192.168.50.11:46609","cos_192.168.50.11:46619","cos_192.168.50.11:46629","cos_192.168.50.11:46639","cos_192.168.50.11:46649","cos_192.168.50.2:46510","cos_192.168.50.2:46600","cos_192.168.50.2:46610","cos_192.168.50.2:46620","cos_192.168.50.2:46630","cos_192.168.50.2:46640","cos_192.168.50.3:46511","cos_192.168.50.3:46601","cos_192.168.50.3:46611","cos_192.168.50.3:46621","cos_192.168.50.3:46631","cos_192.168.50.3:46641","cos_192.168.50.4:46512","cos_192.168.50.4:46602","cos_192.168.50.4:46612","cos_192.168.50.4:46622","cos_192.168.50.4:46632","cos_192.168.50.4:46642","cos_192.168.50.5:46513","cos_192.168.50.5:46603","cos_192.168.50.5:46613","cos_192.168.50.5:46623","cos_192.168.50.5:46633","cos_192.168.50.5:46643","cos_192.168.50.6:46514","cos_192.168.50.6:46604","cos_192.168.50.6:46614","cos_192.168.50.6:46624","cos_192.168.50.6:46634","cos_192.168.50.6:46644","cos_192.168.50.7:46515","cos_192.168.50.7:46605","cos_192.168.50.7:46615","cos_192.168.50.7:46625","cos_192.168.50.7:46635","cos_192.168.50.7:46645","cos_192.168.50.8:46516","cos_192.168.50.8:46606","cos_192.168.50.8:46616","cos_192.168.50.8:46626","cos_192.168.50.8:46636","cos_192.168.50.8:46646","cos_192.168.50.9:46517","cos_192.168.50.9:46607","cos_192.168.50.9:46617","cos_192.168.50.9:46627","cos_192.168.50.9:46637","cos_192.168.50.9:46647","epoch","trainer/global_step","val_loss_192.168.50.10:46518","val_loss_192.168.50.10:46638","val_loss_192.168.50.10:46648","val_loss_192.168.50.11:46519","val_loss_192.168.50.11:46639","val_loss_192.168.50.11:46649","val_loss_192.168.50.2:46510","val_loss_192.168.50.2:46630","val_loss_192.168.50.2:46640","val_loss_192.168.50.3:46511","val_loss_192.168.50.3:46631","val_loss_192.168.50.3:46641","val_loss_192.168.50.4:46512","val_loss_192.168.50.4:46632","val_loss_192.168.50.4:46642","val_loss_192.168.50.5:46513","val_loss_192.168.50.5:46633","val_loss_192.168.50.5:46643","val_loss_192.168.50.6:46514","val_loss_192.168.50.6:46634","val_loss_192.168.50.6:46644","val_loss_192.168.50.7:46515","val_loss_192.168.50.7:46635","val_loss_192.168.50.7:46645","val_loss_192.168.50.8:46516","val_loss_192.168.50.8:46636","val_loss_192.168.50.8:46646","val_loss_192.168.50.9:46517","val_loss_192.168.50.9:46637","val_loss_192.168.50.9:46647"
"participant_0","finished","-","janousy","","2023-06-19T20:38:22.000Z","1404","","2bf3qvlh","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:46.000Z","e9ca072d008d","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.246510","10","0","0","0.0967741683125496","0.01569058932363987","363.3199462890625","0.0086693549528718","0.0967741683125496","0.10000000149011612","0.015955474227666855","0.0086693549528718","0.10000000149011612","0.10000000149011612","0.02222222276031971","1354.037109375","0.012500000186264517","0.10000000149011612","0.10078106820583344","0.0987723171710968","0.10134153813123704","0.10078106820583344","0.09444446116685867","0.0214826799929142","1018.0223388671876","0.012326388619840143","0.09444446116685867","0.10000000149011612","0.021947449073195457","0.012326388619840143","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","finished","-","janousy","","2023-06-19T20:37:24.000Z","1463","","yxhl90ot","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:47.000Z","f0a8e9b7841b","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.546513","10","0","0","0.09354836493730544","0.017532076686620712","334.9609375","0.009979838505387306","0.09354836493730544","0.10000000149011612","0.01814848743379116","0.009979838505387306","0.10000000149011612","0.10000000149011612","0.031578946858644485","956.47265625","0.01875000074505806","0.10000000149011612","0.10310319811105728","0.09976408630609512","0.10019551217556","0.10310319811105728","0.09444446116685867","0.01343198586255312","1295.816162109375","0.00729166716337204","0.09444446116685867","0.10000000149011612","0.013592232950031756","0.007291666232049465","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","finished","-","janousy","","2023-06-19T20:37:24.000Z","1462","","v0etqdqp","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:46.000Z","b2ea6572f05b","","","","","","Model Poisoning","salt","80","80","0","false","No Attack","true","salt","80","0","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.446512","10","0","0","0.09999997168779372","0.01626555249094963","342.8407287597656","0.009072579443454742","0.09999997168779372","0.10000000149011612","0.01663585938513279","0.009072581306099892","0.10000000149011612","0.10000000149011612","0.01714285835623741","1129.619140625","0.00937500037252903","0.10000000149011612","0.101809062063694","0.09938152134418488","0.10164956003427504","0.101809062063694","0.10000001639127731","0.018684545531868935","1121.333740234375","0.01059027761220932","0.10000001639127731","0.10000000149011612","0.01915227621793747","0.01059027761220932","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","finished","-","janousy","","2023-06-19T20:37:24.000Z","1461","","prst0npm","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:45.000Z","584a3a4d92b2","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.346511","10","0","0","0.0967741683125496","0.019085265696048737","350.9298095703125","0.010786292143166063","0.0967741683125496","0.10000000149011612","0.01947224698960781","0.010786290280520916","0.10000000149011612","0.10000000149011612","0.027027025818824768","1335.9296875","0.015625","0.10000000149011612","0.0969475507736206","0.09445212036371232","0.0972101017832756","0.0969475507736206","0.10000001639127731","0.01901230402290821","1414.006103515625","0.01076388917863369","0.10000001639127731","0.10000000149011612","0.019435737282037735","0.01076388917863369","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","finished","-","janousy","","2023-06-19T20:37:23.000Z","1462","","y6lxdsb2","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:45.000Z","68dd4e24d7e5","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.646514","10","0","0","0.0967741683125496","0.017858823761343956","358.03704833984375","0.010080643929541113","0.0967741683125496","0.10000000149011612","0.018315019086003304","0.010080644860863686","0.10000000149011612","0.10000000149011612","0.01714285835623741","1292.12109375","0.00937500037252903","0.10000000149011612","0.09546656906604768","0.09341711550951004","0.09598985314369202","0.09546656906604768","0.09444446116685867","0.016526030376553535","911.6890258789062","0.00920138880610466","0.09444446116685867","0.10000000149011612","0.01685214601457119","0.00920138880610466","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_5","finished","-","janousy","","2023-06-19T20:37:23.000Z","1464","","oar5zmk6","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:47.000Z","e3fac2a95e73","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.746515","10","0","0","0.09999997168779372","0.01930256374180317","353.4151916503906","0.010987904854118824","0.09999997168779372","0.10000000149011612","0.019800182431936264","0.010987902991473677","0.10000000149011612","0.10000000149011612","0.027027025818824768","1715.88671875","0.015625","0.10000000149011612","0.09515276551246644","0.0923420712351799","0.09344489872455596","0.09515276551246644","0.10000001639127731","0.022657644003629684","1429.7723388671875","0.01302083395421505","0.10000001639127731","0.10000000149011612","0.02304147556424141","0.013020833022892477","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_6","finished","-","janousy","","2023-06-19T20:37:23.000Z","1461","","ma5ril7i","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:44.000Z","bb73846a4f93","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.846516","10","0","0","0.0967741683125496","0.0191084835678339","349.4386901855469","0.01078629121184349","0.0967741683125496","0.10000000149011612","0.01947224698960781","0.010786290280520916","0.10000000149011612","0.10000000149011612","0.0117647061124444","755.333984375","0.0062500000931322575","0.10000000149011612","0.10563631355762482","0.1031627357006073","0.1052846983075142","0.10563631355762482","0.09444446116685867","0.0201093889772892","1531.86181640625","0.01145833358168602","0.09444446116685867","0.10000000149011612","0.020560747012495995","0.01145833358168602","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_8","finished","-","janousy","","2023-06-19T20:37:23.000Z","1462","","dg1kbepl","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:45.000Z","4bcea85048b2","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.1046518","10","0","0","0.0967741683125496","0.016550756990909576","335.33746337890625","0.009374999441206455","0.0967741683125496","0.10000000149011612","0.01714285835623741","0.00937500037252903","0.10000000149011612","0.10000000149011612","0.0117647061124444","1939.98046875","0.0062500000931322575","0.10000000149011612","0.10618098825216292","0.10314534604549408","0.1060904935002327","0.10618098825216292","0.10000001639127731","0.01728668436408043","992.6859741210938","0.00972222164273262","0.10000001639127731","0.10000000149011612","0.017721518874168396","0.009722222574055197","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_7","finished","-","janousy","","2023-06-19T20:37:23.000Z","1463","","9vhbri3a","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:46.000Z","bbf1ab818d0f","","","","","","Model Poisoning","salt","80","80","0","false","Model Poisoning","true","salt","80","0.8","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.946517","10","0","0","0.0967741683125496","0.018310708925127983","345.1902770996094","0.010282259434461594","0.0967741683125496","0.10000000149011612","0.018647167831659317","0.010282257571816444","0.10000000149011612","0.10000000149011612","0.02222222276031971","1343.51171875","0.012500000186264517","0.10000000149011612","0.10467085242271423","0.10221382230520248","0.1048448234796524","0.10467085242271423","0.09444446116685867","0.017303481698036194","945.8170776367188","0.009895834140479565","0.09444446116685867","0.10000000149011612","0.018009480088949203","0.00989583320915699","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_9","finished","-","janousy","","2023-06-19T20:37:23.000Z","1456","","4wq15kb5","FASHIONMNIST_1_MLP_FedAvg_fully_ModelPoisoning_0_N80-S0_R80_salt_20230619_203656","","2023-06-19T21:27:50.000Z","2023-06-19T21:01:39.000Z","5aa3d26d3dad","","","","","","Model Poisoning","salt","80","80","0","false","No Attack","true","salt","80","0","0","7","3","false","FedAvg","Model Poisoning","salt","80","80","0","false","FASHIONMNIST","true","MLP","192.168.50.1146519","10","0","0","0.09999997168779372","0.017931561917066574","366.7298278808594","0.00997983943670988","0.09999997168779372","0.10000000149011612","0.01814848743379116","0.009979838505387306","0.10000000149011612","0.10000000149011612","0.02222222276031971","751.400390625","0.012500000186264517","0.10000000149011612","0.10079434514045715","0.09853333234786989","0.10219696909189224","0.10079434514045715","0.09444446116685867","0.015063788741827013","981.6969604492188","0.008333333767950535","0.09444446116685867","0.10000000149011612","0.015384616330266","0.008333333767950535","0.10000000149011612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
