,192.168.50.3:46551,192.168.50.4:46552,192.168.50.5:46553,192.168.50.6:46554,192.168.50.7:46555,192.168.50.8:46556,192.168.50.9:46557,192.168.50.10:46558,192.168.50.11:46559
0,0.0,0,0,0,0,0,0.0,0.0,0.0
1,1.0,0,0,0,0,1,1.0,0.9961782480660341,0.5180433221178146
2,1.0,0,0,0,0,1,1.0,1.0,0.0
3,1.0,0,0,0,0,1,0.9971857783913354,0.9891933589577113,0.0
4,1.0,0,0,0,0,1,0.9786393352922987,1.0,0.0
5,1.0,0,0,0,0,1,1.0,1.0,0.0
6,1.0,0,0,0,0,1,0.9715927749896363,1.0,0.0
7,0.9824766110937917,0,0,0,0,1,0.9791505309961143,0.9967807901156791,0.0
8,0.9770930895629399,0,0,0,0,1,0.9766941313915432,1.0,0.0
9,1.0,0,0,0,0,1,0.9682904841516888,1.0,0.0
