"Name","Round","GPU Type","GPU Count","GitHub","Commit","Description","Hostname","End Time","Updated","Job Type","ID","Group","State","Notes","User","Tags","Created","Runtime","Sweep","adversarial_args.attack_env.attack","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","aggregator_args.sentinel_loss_threshold","aggregator_args.sentinelglobal_active_round","attack_env.attack","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall"
"participant_0","10","NVIDIA GeForce RTX 3080","2","","","","cefcf4a8eab3","2023-07-14T17:35:01.000Z","2023-07-14T18:13:42.000Z","","oje98wow","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:27:49.000Z","432","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.2:46510","0.03923647932131495","0","0.7285521626472473","0.705813467502594","0.7096476554870605","0.7372658848762512","0.7285521626472473","0.7475734949111938","0.7464607357978821","0.7526051998138428","0.7475734949111938","0.6857143640518188","0.5821717381477356","0.9773491621017456","0.6016666889190674","0.6857143640518188","0.7556520104408264","0.7550476789474487","0.7548290491104126","0.7556520104408264","0.722777783870697","0.6947963237762451","0.7617488503456116","0.7397514581680298","0.722777783870697","0.7443286180496216","0.7440063953399658","0.7511085271835327","0.7443286180496216"
"participant_3","10","NVIDIA GeForce RTX 3080","2","","","","9c835d18eb36","2023-07-14T17:35:04.000Z","2023-07-14T18:13:43.000Z","","juz94zod","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:52.000Z","492","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.5:46513","0.03870292887029288","0.02127659574468085","0.7092089056968689","0.6834907531738281","0.7380635142326355","0.717825174331665","0.7092089056968689","0.7344053983688354","0.7329830527305603","0.7400845885276794","0.7344053983688354","0.860714316368103","0.8346453309059143","0.5773671269416809","0.8583333492279053","0.860714316368103","0.7523008584976196","0.7518571019172668","0.7515345215797424","0.7523008584976196","0.6985158324241638","0.664402186870575","0.908848762512207","0.7066640257835388","0.6985158324241638","0.6975554823875427","0.6991237998008728","0.712693452835083","0.6975554823875427"
"participant_2","10","NVIDIA GeForce RTX 3080","2","","","","94f10108ba47","2023-07-14T17:34:58.000Z","2023-07-14T18:13:43.000Z","","ggzhdobm","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:52.000Z","486","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.4:46512","0.0380952380952381","0.010416666666666666","0.7249680757522583","0.6994577646255493","0.7366493940353394","0.7266014218330383","0.7249680757522583","0.7487421631813049","0.7471758723258972","0.7513197660446167","0.7487421631813049","0.7095237970352173","0.6612120866775513","0.6569704413414001","0.6974999904632568","0.7095237970352173","0.7380074858665466","0.7373047471046448","0.736867368221283","0.7380074858665466","0.6926270127296448","0.6635992527008057","0.8509992361068726","0.6923148036003113","0.6926270127296448","0.6988664269447327","0.7045395374298096","0.7319947481155396","0.6988664269447327"
"participant_4","10","NVIDIA GeForce RTX 3080","2","","","","46ca7c04cdfa","2023-07-14T17:35:08.000Z","2023-07-14T18:13:43.000Z","","ek99rnab","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:52.000Z","496","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.6:46514","0.022198731501057084","0.02830188679245283","0.7739811539649963","0.744210422039032","0.6686441898345947","0.7771044969558716","0.7739811539649963","0.7745374441146851","0.7710103392601013","0.7789084911346436","0.7745374441146851","0.6257143020629883","0.5267521142959595","0.9053699374198914","0.5533333420753479","0.6257143020629883","0.7391031980514526","0.738473117351532","0.7379937171936035","0.7391031980514526","0.6821402311325073","0.6579271554946899","0.8602868914604187","0.6868307590484619","0.6821402311325073","0.7194147109985352","0.7152019739151001","0.7261515855789185","0.7194147109985352"
"participant_6","10","NVIDIA GeForce RTX 3080","2","","","","6d6f60c8be49","2023-07-14T17:35:01.000Z","2023-07-14T18:13:43.000Z","","uqjav6y4","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","490","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.8:46516","0.0413135593220339","0.010416666666666666","0.725130558013916","0.7136103510856628","0.6866082549095154","0.7489362359046936","0.725130558013916","0.7650758028030396","0.7639949917793274","0.76741623878479","0.7650758028030396","0.5049999952316284","0.508571445941925","1.5156161785125732","0.5716667175292969","0.5049999952316284","0.7353696823120117","0.7347699999809265","0.7343822121620178","0.7353696823120117","0.6823651194572449","0.6395388841629028","0.8255383968353271","0.6617645621299744","0.6823651194572449","0.7027900218963623","0.6977608799934387","0.7223209142684937","0.7027900218963623"
"participant_1","10","NVIDIA GeForce RTX 3080","2","","","","3f2b1ee53429","2023-07-14T17:35:09.000Z","2023-07-14T18:13:43.000Z","","jwm2lk52","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","498","","Label Flipping","salt","10","0","30","true","Label Flipping","true","salt","10","0","0.3","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.3:46511","0.010224948875255624","0.031914893617021274","0.7014182806015015","0.6671432852745056","0.690407395362854","0.6947410106658936","0.7014182806015015","0.7437220811843872","0.732351541519165","0.7499833703041077","0.7437220811843872","0.6175000071525574","0.5155556201934814","0.7723368406295776","0.45666664838790894","0.6175000071525574","0.6656714081764221","0.6701226234436035","0.6763665676116943","0.6656714081764221","0.5978280901908875","0.5822451710700989","0.908863365650177","0.635480523109436","0.5978280901908875","0.6084337830543518","0.6128883361816406","0.648780107498169","0.6084337830543518"
"participant_5","10","NVIDIA GeForce RTX 3080","2","","","","734ff01a48e4","2023-07-14T17:34:57.000Z","2023-07-14T18:13:43.000Z","","gtmbzaos","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","486","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.7:46515","0.045647558386411886","0.019230769230769232","0.7464118599891663","0.7177990674972534","0.7464261651039124","0.7517716884613037","0.7464118599891663","0.7514312863349915","0.7498835921287537","0.7573753595352173","0.7514312863349915","0.625","0.5240476131439209","1.032034993171692","0.5373809337615967","0.625","0.7533121109008789","0.7522132396697998","0.7517848610877991","0.7533121109008789","0.7360344529151917","0.7001991868019104","0.7618612051010132","0.7437513470649719","0.7360344529151917","0.7499687671661377","0.7379345893859863","0.756408154964447","0.7499687671661377"
"participant_8","10","NVIDIA GeForce RTX 3080","2","","","","00a6075e3948","2023-07-14T17:35:04.000Z","2023-07-14T18:13:43.000Z","","85xwvezz","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","493","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.10:46518","0.037037037037037035","0.00909090909090909","0.729423999786377","0.6996416449546814","0.7077102065086365","0.7267536520957947","0.729423999786377","0.740916907787323","0.7379234433174133","0.7409590482711792","0.740916907787323","0.7233333587646484","0.6969841718673706","0.9085646271705629","0.7433333396911621","0.7233333587646484","0.7473053932189941","0.7466239929199219","0.7460867166519165","0.7473053932189941","0.6769047379493713","0.6478720903396606","0.8703718781471252","0.664912760257721","0.6769047379493713","0.694031834602356","0.6901262402534485","0.6947026252746582","0.694031834602356"
"participant_7","10","NVIDIA GeForce RTX 3080","2","","","","a233ec9a2e19","2023-07-14T17:35:03.000Z","2023-07-14T18:13:43.000Z","","5y3rmi3n","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","492","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.9:46517","0.04246284501061571","0.009708737864077667","0.7414964437484741","0.7125383615493774","0.7046296000480652","0.7460625171661377","0.7414964437484741","0.7606433629989624","0.7590420246124268","0.7628634572029114","0.7606433629989624","0.5700000524520874","0.5429237484931946","0.8876087665557861","0.5833333134651184","0.5700000524520874","0.7493255138397217","0.7487615346908569","0.7484714984893799","0.7493255138397217","0.6954391598701477","0.677490770816803","0.829705536365509","0.7106428742408752","0.6954391598701477","0.7256085872650146","0.7202790975570679","0.7318585515022278","0.7256085872650146"
"participant_9","10","NVIDIA GeForce RTX 3080","2","","","","d0076c51f9e7","2023-07-14T17:35:07.000Z","2023-07-14T18:13:43.000Z","","52h0txem","CIFAR10_1_simplemobilenet_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230714_192639","finished","-","janousy","","2023-07-14T17:26:51.000Z","496","","Label Flipping","salt","10","0","30","true","No Attack","true","salt","10","0","0","7","3","true","SentinelGlobal","0.5","5","Label Flipping","salt","10","0","30","true","CIFAR10","true","simplemobilenet","192.168.50.11:46519","0.035789473684210524","0.023809523809523808","0.7279877066612244","0.6963527798652649","0.7052887082099915","0.7266320586204529","0.7279877066612244","0.7526755332946777","0.7504479885101318","0.7597234845161438","0.7526755332946777","0.6649999618530273","0.6688312292098999","0.8044390082359314","0.7178571224212646","0.6649999618530273","0.7466249465942383","0.7459820508956909","0.7456201314926147","0.7466249465942383","0.708380937576294","0.6874085664749146","0.7496150135993958","0.7147751450538635","0.708380937576294","0.7339475750923157","0.7393500208854675","0.7560083866119385","0.7339475750923157"
