"Name","Round","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env.attack","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.targeted","attack_env.attack","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","aggregator_args.sentinel_loss_threshold","aggregator_args.algorithm","adversarial_args.target_label","adversarial_args.target_changed_label","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall","epoch","trainer/global_step","val_loss_192.168.50.10:46878","val_loss_192.168.50.10:46888","val_loss_192.168.50.10:46898","val_loss_192.168.50.10:46908","val_loss_192.168.50.10:46918","val_loss_192.168.50.10:46928","val_loss_192.168.50.10:46938","val_loss_192.168.50.10:46948","val_loss_192.168.50.10:46958","val_loss_192.168.50.11:46879","val_loss_192.168.50.11:46889","val_loss_192.168.50.11:46899","val_loss_192.168.50.11:46909","val_loss_192.168.50.11:46919","val_loss_192.168.50.11:46929","val_loss_192.168.50.11:46939","val_loss_192.168.50.11:46949","val_loss_192.168.50.11:46959","val_loss_192.168.50.2:46870","val_loss_192.168.50.2:46880","val_loss_192.168.50.2:46890","val_loss_192.168.50.2:46900","val_loss_192.168.50.2:46910","val_loss_192.168.50.2:46920","val_loss_192.168.50.2:46930","val_loss_192.168.50.2:46940","val_loss_192.168.50.2:46950","val_loss_192.168.50.3:46871","val_loss_192.168.50.3:46881","val_loss_192.168.50.3:46891","val_loss_192.168.50.3:46901","val_loss_192.168.50.3:46911","val_loss_192.168.50.3:46921","val_loss_192.168.50.3:46931","val_loss_192.168.50.3:46941","val_loss_192.168.50.3:46951","val_loss_192.168.50.4:46872","val_loss_192.168.50.4:46882","val_loss_192.168.50.4:46892","val_loss_192.168.50.4:46902","val_loss_192.168.50.4:46912","val_loss_192.168.50.4:46922","val_loss_192.168.50.4:46932","val_loss_192.168.50.4:46942","val_loss_192.168.50.4:46952","val_loss_192.168.50.5:46873","val_loss_192.168.50.5:46883","val_loss_192.168.50.5:46893","val_loss_192.168.50.5:46903","val_loss_192.168.50.5:46913","val_loss_192.168.50.5:46923","val_loss_192.168.50.5:46933","val_loss_192.168.50.5:46943","val_loss_192.168.50.5:46953","val_loss_192.168.50.6:46874","val_loss_192.168.50.6:46884","val_loss_192.168.50.6:46894","val_loss_192.168.50.6:46904","val_loss_192.168.50.6:46914","val_loss_192.168.50.6:46924","val_loss_192.168.50.6:46934","val_loss_192.168.50.6:46944","val_loss_192.168.50.6:46954","val_loss_192.168.50.7:46875","val_loss_192.168.50.7:46885","val_loss_192.168.50.7:46895","val_loss_192.168.50.7:46905","val_loss_192.168.50.7:46915","val_loss_192.168.50.7:46925","val_loss_192.168.50.7:46935","val_loss_192.168.50.7:46945","val_loss_192.168.50.7:46955","val_loss_192.168.50.8:46876","val_loss_192.168.50.8:46886","val_loss_192.168.50.8:46896","val_loss_192.168.50.8:46906","val_loss_192.168.50.8:46916","val_loss_192.168.50.8:46926","val_loss_192.168.50.8:46936","val_loss_192.168.50.8:46946","val_loss_192.168.50.8:46956","val_loss_192.168.50.9:46877","val_loss_192.168.50.9:46887","val_loss_192.168.50.9:46897","val_loss_192.168.50.9:46907","val_loss_192.168.50.9:46917","val_loss_192.168.50.9:46927","val_loss_192.168.50.9:46937","val_loss_192.168.50.9:46947","val_loss_192.168.50.9:46957","Global Trust 192.168.50.10:46668","Global Trust 192.168.50.10:46678","Global Trust 192.168.50.10:46688","Global Trust 192.168.50.11:46669","Global Trust 192.168.50.11:46679","Global Trust 192.168.50.11:46689","Global Trust 192.168.50.2:46660","Global Trust 192.168.50.2:46670","Global Trust 192.168.50.2:46680","Global Trust 192.168.50.3:46661","Global Trust 192.168.50.3:46671","Global Trust 192.168.50.3:46681","Global Trust 192.168.50.4:46662","Global Trust 192.168.50.4:46672","Global Trust 192.168.50.4:46682","Global Trust 192.168.50.5:46663","Global Trust 192.168.50.5:46673","Global Trust 192.168.50.5:46683","Global Trust 192.168.50.6:46664","Global Trust 192.168.50.6:46674","Global Trust 192.168.50.6:46684","Global Trust 192.168.50.7:46665","Global Trust 192.168.50.7:46675","Global Trust 192.168.50.7:46685","Global Trust 192.168.50.8:46666","Global Trust 192.168.50.8:46676","Global Trust 192.168.50.8:46686","Global Trust 192.168.50.9:46667","Global Trust 192.168.50.9:46677","Global Trust 192.168.50.9:46687","Models Evaluated"
"participant_0","10","finished","-","janousy","","2023-06-30T11:46:46.000Z","550","","n1c3r6xi","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:55:56.000Z","f681b791ba26","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.246620","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.022","0","0.8183333277702332","0.8005127906799316","1.8010902703906063e+28","0.8187736868858337","0.8183333277702332","0.8433411121368408","0.8447152972221375","0.8480715155601501","0.8433411121368408","0.8683333992958069","0.8266234397888184","1.4498393748800722e+25","0.85833340883255","0.8683333992958069","0.8440455794334412","0.8434622287750244","0.8434462547302246","0.8440455794334412","0.8114374279975891","0.7961072325706482","1.7387431724826248e+25","0.8154101371765137","0.8114374279975891","0.8295478224754333","0.8292092680931091","0.8308796286582947","0.8295478224754333","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","613","","wf68b7xd","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:02.000Z","3b61a6c3b47d","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.446622","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.019","0","0.8010753393173218","0.7878403663635254","1.6998991652773514e+28","0.8062443137168884","0.8010753393173218","0.8300701379776001","0.8294817805290222","0.8298799991607666","0.8300701379776001","0.8428572416305542","0.8059091567993164","2.983438727654133e+25","0.8166667819023132","0.8428572416305542","0.829561710357666","0.8292032480239868","0.829492449760437","0.829561710357666","0.816693127155304","0.7939634919166565","1.6242934617653564e+25","0.8034326434135437","0.816693127155304","0.8435120582580566","0.8409773707389832","0.8408933281898499","0.8435120582580566","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","615","","p163zfz2","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:04.000Z","c217bcaa4375","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.546623","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.02","0","0.791973888874054","0.7662561535835266","2.014888093234481e+28","0.780245840549469","0.791973888874054","0.8100685477256775","0.8082701563835144","0.8087226152420044","0.8100685477256775","0.833333432674408","0.8080952167510986","3.3699985507535496e+25","0.8666667342185974","0.833333432674408","0.8416203260421753","0.842078685760498","0.8428290486335754","0.8416203260421753","0.8055886030197144","0.784859299659729","1.6992576862085486e+25","0.7973633408546448","0.8055886030197144","0.8357473611831665","0.832699179649353","0.8320690393447876","0.8357473611831665","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","612","","mry7vytl","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:01.000Z","e8132db93492","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.646624","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.031","0","0.7972734570503235","0.7706173658370972","1.7446361499753308e+28","0.7875372767448425","0.7972734570503235","0.8254461288452148","0.8248083591461182","0.8251906037330627","0.8254461288452148","0.7500000596046448","0.7111111283302307","1.8649004552027245e+25","0.7166667580604553","0.7500000596046448","0.8392846584320068","0.8399660587310791","0.8410536050796509","0.8392846584320068","0.8182141780853271","0.8030416965484619","1.624505368737903e+25","0.8315345048904419","0.8182141780853271","0.842106282711029","0.8423168659210205","0.8456147909164429","0.842106282711029","0","257536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_6","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","615","","jji27ovv","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:04.000Z","39da6e68b98e","","","","","","Label Flipping","true","Label Flipping","true","salt","10","0","0.3","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.846626","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.018","0","0.7917011976242065","0.7738587856292725","1.625527560011934e+28","0.7937045097351074","0.7917011976242065","0.8220185041427612","0.823763370513916","0.8269518613815308","0.8220185041427612","0.7300000190734863","0.734603226184845","4.754181351789271e+24","0.7500000596046448","0.7300000190734863","0.7113431096076965","0.7258327007293701","0.7536649107933044","0.7113431096076965","0.6945350170135498","0.6939390301704407","1.7401308057471395e+26","0.7404828667640686","0.6945350170135498","0.7138910293579102","0.7263562083244324","0.7528964877128601","0.7138910293579102","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_7","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","607","","j8n0ce7i","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:55:56.000Z","ee2dfa582082","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.946627","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.03","0","0.8133833408355713","0.7857927083969116","1.607354831253393e+28","0.802238941192627","0.8133833408355713","0.8361429572105408","0.8340367078781128","0.833397626876831","0.8361429572105408","0.7800000309944153","0.7836363911628723","1.32862916304409e+25","0.8000000715255737","0.7800000309944153","0.8407710194587708","0.8411649465560913","0.84186190366745","0.8407710194587708","0.7736706733703613","0.7555059790611267","2.959775936109281e+25","0.7824470400810242","0.7736706733703613","0.7991395592689514","0.796283483505249","0.7987723350524902","0.7991395592689514","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_5","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","613","","hgwuwf4z","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:02.000Z","b6eb7fd75b67","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.746625","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.032","0","0.8005914092063904","0.7771984338760376","2.8155702888898364e+28","0.8009563088417053","0.8005914092063904","0.8125749230384827","0.813777506351471","0.81666499376297","0.8125749230384827","0.8050000071525574","0.8228632807731628","1.516384620620174e+25","0.860714316368103","0.8050000071525574","0.8442413210868835","0.8445206880569458","0.8450195789337158","0.8442413210868835","0.815568745136261","0.8023996949195862","1.3059039272667846e+25","0.8226324319839478","0.815568745136261","0.839362621307373","0.838813066482544","0.8422408103942871","0.839362621307373","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_9","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","618","","fyh2emnz","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:07.000Z","4d6e66cdc3a6","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.1146629","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.025","0","0.8155838251113892","0.7973065972328186","1.7208781603183378e+28","0.8199321627616882","0.8155838251113892","0.8356442451477051","0.8328654766082764","0.8319379091262817","0.8356442451477051","0.6166666746139526","0.6066233515739441","1.1282669699837323e+26","0.6297619342803955","0.6166666746139526","0.8367480039596558","0.836598813533783","0.8366611003875732","0.8367480039596558","0.8163822889328003","0.7991094589233398","1.5793580002468531e+25","0.8281195163726807","0.8163822889328003","0.8394598960876465","0.8392821550369263","0.8395498991012573","0.8394598960876465","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","613","","fwd3ewx8","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:02.000Z","27ca1f00053c","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.346621","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.035","0","0.8145212531089783","0.7951884269714355","1.387762310557551e+28","0.8072797656059265","0.8145212531089783","0.8397102952003479","0.8406539559364319","0.8434616327285767","0.8397102952003479","0.7250000238418579","0.7260739803314209","4.873783122834176e+24","0.7607142925262451","0.7250000238418579","0.8379359245300293","0.8387094736099243","0.8397876620292664","0.8379359245300293","0.8050264716148376","0.7862626910209656","1.267878154909691e+25","0.8018386960029602","0.8050264716148376","0.8551808595657349","0.8537839651107788","0.8546844124794006","0.8551808595657349","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_8","10","finished","-","janousy","","2023-06-30T11:45:49.000Z","615","","36s37plo","FASHIONMNIST_1_MLP_FlTrust_fully_LabelFlipping_1_N10-S30_R0_salt_20230630_114534","","2023-06-30T12:02:34.000Z","2023-06-30T11:56:04.000Z","30dd55e05740","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.1046628","salt","10","0","30","salt","10","0","30","0.1","FlTrust","3","7","0.017","0","0.7821825742721558","0.7669168710708618","1.53825008132632e+28","0.7904686331748962","0.7821825742721558","0.8178863525390625","0.8180256485939026","0.8186838626861572","0.8178863525390625","0.8916667699813843","0.8819231390953064","3.054306391407156e+24","0.9130953550338744","0.8916667699813843","0.8356869220733643","0.8360975980758667","0.8368216753005981","0.8356869220733643","0.8220967054367065","0.8003554344177246","1.5476230287874964e+25","0.8183472156524658","0.8220967054367065","0.8360635638237","0.8373314738273621","0.8394432067871094","0.8360635638237","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
