"Name","Round","Test/ASR-backdoor","Test/ASR-targeted","Test/F1Score","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env.attack","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.targeted","attack_env.attack","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","aggregator_args.sentinel_loss_threshold","aggregator_args.algorithm","adversarial_args.target_label","adversarial_args.target_changed_label","aggregator_args.sentinelglobal_active_round","Test/Accuracy","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall","epoch","trainer/global_step","val_loss_192.168.50.10:46878","val_loss_192.168.50.10:46888","val_loss_192.168.50.10:46898","val_loss_192.168.50.10:46908","val_loss_192.168.50.10:46918","val_loss_192.168.50.10:46928","val_loss_192.168.50.10:46938","val_loss_192.168.50.10:46948","val_loss_192.168.50.10:46958","val_loss_192.168.50.11:46879","val_loss_192.168.50.11:46889","val_loss_192.168.50.11:46899","val_loss_192.168.50.11:46909","val_loss_192.168.50.11:46919","val_loss_192.168.50.11:46929","val_loss_192.168.50.11:46939","val_loss_192.168.50.11:46949","val_loss_192.168.50.11:46959","val_loss_192.168.50.2:46870","val_loss_192.168.50.2:46880","val_loss_192.168.50.2:46890","val_loss_192.168.50.2:46900","val_loss_192.168.50.2:46910","val_loss_192.168.50.2:46920","val_loss_192.168.50.2:46930","val_loss_192.168.50.2:46940","val_loss_192.168.50.2:46950","val_loss_192.168.50.3:46871","val_loss_192.168.50.3:46881","val_loss_192.168.50.3:46891","val_loss_192.168.50.3:46901","val_loss_192.168.50.3:46911","val_loss_192.168.50.3:46921","val_loss_192.168.50.3:46931","val_loss_192.168.50.3:46941","val_loss_192.168.50.3:46951","val_loss_192.168.50.4:46872","val_loss_192.168.50.4:46882","val_loss_192.168.50.4:46892","val_loss_192.168.50.4:46902","val_loss_192.168.50.4:46912","val_loss_192.168.50.4:46922","val_loss_192.168.50.4:46932","val_loss_192.168.50.4:46942","val_loss_192.168.50.4:46952","val_loss_192.168.50.5:46873","val_loss_192.168.50.5:46883","val_loss_192.168.50.5:46893","val_loss_192.168.50.5:46903","val_loss_192.168.50.5:46913","val_loss_192.168.50.5:46923","val_loss_192.168.50.5:46933","val_loss_192.168.50.5:46943","val_loss_192.168.50.5:46953","val_loss_192.168.50.6:46874","val_loss_192.168.50.6:46884","val_loss_192.168.50.6:46894","val_loss_192.168.50.6:46904","val_loss_192.168.50.6:46914","val_loss_192.168.50.6:46924","val_loss_192.168.50.6:46934","val_loss_192.168.50.6:46944","val_loss_192.168.50.6:46954","val_loss_192.168.50.7:46875","val_loss_192.168.50.7:46885","val_loss_192.168.50.7:46895","val_loss_192.168.50.7:46905","val_loss_192.168.50.7:46915","val_loss_192.168.50.7:46925","val_loss_192.168.50.7:46935","val_loss_192.168.50.7:46945","val_loss_192.168.50.7:46955","val_loss_192.168.50.8:46876","val_loss_192.168.50.8:46886","val_loss_192.168.50.8:46896","val_loss_192.168.50.8:46906","val_loss_192.168.50.8:46916","val_loss_192.168.50.8:46926","val_loss_192.168.50.8:46936","val_loss_192.168.50.8:46946","val_loss_192.168.50.8:46956","val_loss_192.168.50.9:46877","val_loss_192.168.50.9:46887","val_loss_192.168.50.9:46897","val_loss_192.168.50.9:46907","val_loss_192.168.50.9:46917","val_loss_192.168.50.9:46927","val_loss_192.168.50.9:46937","val_loss_192.168.50.9:46947","val_loss_192.168.50.9:46957","Global Trust 192.168.50.10:46668","Global Trust 192.168.50.10:46678","Global Trust 192.168.50.10:46688","Global Trust 192.168.50.11:46669","Global Trust 192.168.50.11:46679","Global Trust 192.168.50.11:46689","Global Trust 192.168.50.2:46660","Global Trust 192.168.50.2:46670","Global Trust 192.168.50.2:46680","Global Trust 192.168.50.3:46661","Global Trust 192.168.50.3:46671","Global Trust 192.168.50.3:46681","Global Trust 192.168.50.4:46662","Global Trust 192.168.50.4:46672","Global Trust 192.168.50.4:46682","Global Trust 192.168.50.5:46663","Global Trust 192.168.50.5:46673","Global Trust 192.168.50.5:46683","Global Trust 192.168.50.6:46664","Global Trust 192.168.50.6:46674","Global Trust 192.168.50.6:46684","Global Trust 192.168.50.7:46665","Global Trust 192.168.50.7:46675","Global Trust 192.168.50.7:46685","Global Trust 192.168.50.8:46666","Global Trust 192.168.50.8:46676","Global Trust 192.168.50.8:46686","Global Trust 192.168.50.9:46667","Global Trust 192.168.50.9:46677","Global Trust 192.168.50.9:46687","Models Evaluated"
"participant_0","10","0.01301518438177874","0","0.8450264930725098","finished","-","janousy","","2023-07-10T16:21:51.000Z","505","","j9oxasrb","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","ca4eb4949484","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.2:46680","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8597081899642944","0.33094948530197144","0.8643112778663635","0.8597081899642944","0.883461058139801","0.8841680288314819","0.8861850500106812","0.883461058139801","0.9666667580604552","0.930000066757202","0.17501601576805115","0.933333456516266","0.9666667580604552","0.9000882506370544","0.899601936340332","0.8996847867965698","0.9000882506370544","0.8504960536956787","0.8437490463256836","0.2790790796279907","0.8661155700683594","0.8504960536956787","0.8878493905067444","0.8872745633125305","0.8903954029083252","0.8878493905067444","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_9","10","0.007567567567567568","0","0.8522335886955261","finished","-","janousy","","2023-07-10T16:20:54.000Z","565","","zimgdb5h","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:19.000Z","a5d5b37cf738","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.11:46689","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8736865520477295","0.3243267834186554","0.8654187321662903","0.8736865520477295","0.8852967023849487","0.8822924494743347","0.8812041282653809","0.8852967023849487","0.8583334684371948","0.8432900905609131","0.4583742320537567","0.8833334445953369","0.8583334684371948","0.90131938457489","0.90102219581604","0.9016627669334412","0.90131938457489","0.8461244106292725","0.8300259113311768","0.406232476234436","0.8488094806671143","0.8461244106292725","0.8744854927062988","0.8711126446723938","0.871741533279419","0.8744854927062988","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_5","10","0.016519823788546256","0","0.8260109424591064","finished","-","janousy","","2023-07-10T16:20:54.000Z","562","","y066vwze","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","77d661a054ce","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.7:46685","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8443741202354431","0.41043564677238464","0.8435215353965759","0.8443741202354431","0.8659445643424988","0.8662127256393433","0.868659496307373","0.8659445643424988","0.9100000262260436","0.8944445252418518","0.2155272662639618","0.9000000953674316","0.9100000262260436","0.9009333848953248","0.9007233381271362","0.901001513004303","0.9009333848953248","0.8454034328460693","0.8261337280273438","0.39820653200149536","0.8390476703643799","0.8454034328460693","0.8667315244674683","0.8638737201690674","0.8645385503768921","0.8667315244674683","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_8","10","0.007608695652173913","0","0.8251379728317261","finished","-","janousy","","2023-07-10T16:20:54.000Z","562","","u3bn911j","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","f8acb062eb8a","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.10:46688","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8398631811141968","0.3449985980987549","0.8448656797409058","0.8398631811141968","0.8803218007087708","0.881776750087738","0.8848427534103394","0.8803218007087708","0.7400000691413879","0.7003597021102905","0.30806297063827515","0.7023810148239136","0.7400000691413879","0.900756299495697","0.900553286075592","0.900631308555603","0.900756299495697","0.8440586924552917","0.825350284576416","0.33685052394866943","0.8387963771820068","0.8440586924552917","0.8842434883117676","0.880276620388031","0.8794009685516357","0.8842434883117676","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_3","10","0.01962922573609597","0","0.81218421459198","finished","-","janousy","","2023-07-10T16:20:54.000Z","560","","qvhe48ws","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:14.000Z","c6eb5f17a5a9","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.5:46683","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8350691199302673","0.39633673429489136","0.8253380656242371","0.8350691199302673","0.8584619760513306","0.8571324944496155","0.8579455614089966","0.8584619760513306","0.8666667342185974","0.8246886730194092","0.3145429193973541","0.8773809671401978","0.8666667342185974","0.9062986969947816","0.9058436155319214","0.9056676030158995","0.9062986969947816","0.8200265169143677","0.804721474647522","0.35445845127105713","0.8214551210403442","0.8200265169143677","0.8615212440490723","0.8629705309867859","0.8686273097991943","0.8615212440490723","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_6","10","0.009857612267250822","0","0.814200222492218","finished","-","janousy","","2023-07-10T16:20:54.000Z","561","","iss8i0kc","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:15.000Z","36f78d1bd146","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.8:46686","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8315567374229431","0.355282723903656","0.8268203139305115","0.8315567374229431","0.8707519769668579","0.8706375956535339","0.8714054226875305","0.8707519769668579","0.7416667342185974","0.7269841432571411","0.439172089099884","0.8050000667572021","0.7416667342185974","0.8993931412696838","0.8992366790771484","0.8998948931694031","0.8993931412696838","0.8015873432159424","0.781974732875824","0.4220432639122009","0.8044445514678955","0.8015873432159424","0.8431909084320068","0.8388027548789978","0.8431112766265869","0.8431909084320068","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_4","10","0.009922822491730982","0","0.8383352160453796","finished","-","janousy","","2023-07-10T16:20:54.000Z","562","","hf8vl5uf","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","7130a81df132","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.6:46684","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8531990051269531","0.3402748703956604","0.8521122336387634","0.8531990051269531","0.8837776184082031","0.8831390142440796","0.8833391070365906","0.8837776184082031","0.8383333683013916","0.8329365253448486","0.15596312284469604","0.8333333730697632","0.8383333683013916","0.905756175518036","0.9056767821311952","0.9057255387306212","0.905756175518036","0.8384591341018677","0.8193978667259216","0.36331844329833984","0.8363625407218933","0.8384591341018677","0.8663062453269958","0.8632529973983765","0.8684284687042236","0.8663062453269958","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_2","10","0","0.8611111111111112","0.6809484362602234","finished","-","janousy","","2023-07-10T16:20:54.000Z","560","","ew9din6r","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:14.000Z","ab8644a63783","","","","","","Label Flipping","true","Label Flipping","true","salt","10","0","0.3","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.4:46682","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.7250229716300964","6.318294525146484","0.6836773753166199","0.7250229716300964","0.7563638091087341","0.7211436033248901","0.7118099927902222","0.7563638091087341","0.8857143521308899","0.8589743971824646","0.09163551032543182","0.8500000834465027","0.8857143521308899","0.8555464744567871","0.8557206988334656","0.8559485673904419","0.8555464744567871","0.7229012846946716","0.7103102207183838","0.6822113394737244","0.728578507900238","0.7229012846946716","0.7562063336372375","0.754368007183075","0.7550023794174194","0.7562063336372375","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","0","","","0","","","0","","","1","","","0","","","0","","","0","","","0","","","0",""
"participant_7","10","0.006659267480577136","0","0.8682946562767029","finished","-","janousy","","2023-07-10T16:20:54.000Z","562","","9t1tqlee","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","ae37c6f64c51","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.9:46687","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8817512392997742","0.2971506714820862","0.8822069764137268","0.8817512392997742","0.9009584784507751","0.899806022644043","0.9006438255310059","0.9009584784507751","0.9166667461395264","0.8966667056083679","0.16923561692237854","0.9000000953674316","0.9166667461395264","0.9008569717407228","0.9004989862442017","0.9004530906677246","0.9008569717407228","0.8106614947319031","0.7939218282699585","0.3888511657714844","0.8135119080543518","0.8106614947319031","0.8481206893920898","0.8487941026687622","0.8517927527427673","0.8481206893920898","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
"participant_1","10","0.008762322015334063","0","0.8381121754646301","finished","-","janousy","","2023-07-10T16:20:54.000Z","562","","7iptwhgk","FASHIONMNIST_1_MLP_SentinelGlobal_fully_LabelFlipping_1_N10-S30_R0_salt_20230710_162039","","2023-07-10T20:52:35.000Z","2023-07-10T16:30:16.000Z","00ae591445d9","","","","","","Label Flipping","true","No Attack","true","salt","10","0","0","true","Label Flipping","true","FASHIONMNIST","true","MLP","192.168.50.3:46681","salt","10","0","30","salt","10","0","30","0.5","SentinelGlobal","3","7","3","0.8521864414215088","0.3032204508781433","0.8501690626144409","0.8521864414215088","0.8823765516281128","0.8844007253646851","0.8905991315841675","0.8823765516281128","0.800000011920929","0.7354761958122253","0.5730867385864258","0.7600000500679016","0.800000011920929","0.9057818055152892","0.9053832292556764","0.9052814841270448","0.9057818055152892","0.8620039820671082","0.8491179347038269","0.35748475790023804","0.8659348487854004","0.8620039820671082","0.8831326961517334","0.8861435651779175","0.8957642912864685","0.8831326961517334","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","1","","","0","","","1","","","1","","","1","","","1","","","1",""
