"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","data_args.dataset","data_args.is_iid","model_args.model","network_args","adversarial_args.attack_env.attack","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","adversarial_args.attack_env.targeted:","Round","Test/ASR-backdoor","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","Train/Accuracy","Train/F1Score","Train/Loss","Train/Precision","Train/Recall","TrainEpoch/Accuracy","TrainEpoch/F1Score","TrainEpoch/Precision","TrainEpoch/Recall","Validation/Accuracy","Validation/F1Score","Validation/Loss","Validation/Precision","Validation/Recall","ValidationEpoch/Accuracy","ValidationEpoch/F1Score","ValidationEpoch/Precision","ValidationEpoch/Recall","cos_192.168.50.10:46538","cos_192.168.50.10:46558","cos_192.168.50.11:46539","cos_192.168.50.11:46559","cos_192.168.50.2:46530","cos_192.168.50.2:46550","cos_192.168.50.3:46531","cos_192.168.50.3:46551","cos_192.168.50.4:46532","cos_192.168.50.4:46552","cos_192.168.50.5:46533","cos_192.168.50.5:46553","cos_192.168.50.6:46534","cos_192.168.50.6:46554","cos_192.168.50.7:46535","cos_192.168.50.7:46555","cos_192.168.50.8:46536","cos_192.168.50.8:46556","cos_192.168.50.9:46537","cos_192.168.50.9:46557","epoch","trainer/global_step","val_loss_192.168.50.10:46538","val_loss_192.168.50.11:46539","val_loss_192.168.50.2:46530","val_loss_192.168.50.3:46531","val_loss_192.168.50.4:46532","val_loss_192.168.50.5:46533","val_loss_192.168.50.6:46534","val_loss_192.168.50.7:46535","val_loss_192.168.50.8:46536","val_loss_192.168.50.9:46537","cos_192.168.50.10:46518","cos_192.168.50.10:46598","cos_192.168.50.10:46608","cos_192.168.50.11:46519","cos_192.168.50.11:46599","cos_192.168.50.11:46609","cos_192.168.50.2:46510","cos_192.168.50.2:46590","cos_192.168.50.2:46600","cos_192.168.50.3:46511","cos_192.168.50.3:46591","cos_192.168.50.3:46601","cos_192.168.50.4:46512","cos_192.168.50.4:46592","cos_192.168.50.4:46602","cos_192.168.50.5:46513","cos_192.168.50.5:46593","cos_192.168.50.5:46603","cos_192.168.50.6:46514","cos_192.168.50.6:46594","cos_192.168.50.6:46604","cos_192.168.50.7:46515","cos_192.168.50.7:46595","cos_192.168.50.7:46605","cos_192.168.50.8:46516","cos_192.168.50.8:46596","cos_192.168.50.8:46606","cos_192.168.50.9:46517","cos_192.168.50.9:46597","cos_192.168.50.9:46607","val_loss_192.168.50.10:46518","val_loss_192.168.50.10:46558","val_loss_192.168.50.11:46519","val_loss_192.168.50.11:46559","val_loss_192.168.50.2:46510","val_loss_192.168.50.2:46550","val_loss_192.168.50.3:46511","val_loss_192.168.50.3:46551","val_loss_192.168.50.4:46512","val_loss_192.168.50.4:46552","val_loss_192.168.50.5:46513","val_loss_192.168.50.5:46553","val_loss_192.168.50.6:46514","val_loss_192.168.50.6:46554","val_loss_192.168.50.7:46515","val_loss_192.168.50.7:46555","val_loss_192.168.50.8:46516","val_loss_192.168.50.8:46556","val_loss_192.168.50.9:46517","val_loss_192.168.50.9:46557","cos_192.168.50.10:46548","cos_192.168.50.10:46568","cos_192.168.50.10:46638","cos_192.168.50.10:46648","cos_192.168.50.10:46658","cos_192.168.50.11:46549","cos_192.168.50.11:46569","cos_192.168.50.11:46639","cos_192.168.50.11:46649","cos_192.168.50.11:46659","cos_192.168.50.2:46540","cos_192.168.50.2:46560","cos_192.168.50.2:46630","cos_192.168.50.2:46640","cos_192.168.50.2:46650","cos_192.168.50.3:46541","cos_192.168.50.3:46561","cos_192.168.50.3:46631","cos_192.168.50.3:46641","cos_192.168.50.3:46651","cos_192.168.50.4:46542","cos_192.168.50.4:46562","cos_192.168.50.4:46632","cos_192.168.50.4:46642","cos_192.168.50.4:46652","cos_192.168.50.5:46543","cos_192.168.50.5:46563","cos_192.168.50.5:46633","cos_192.168.50.5:46643","cos_192.168.50.5:46653","cos_192.168.50.6:46544","cos_192.168.50.6:46564","cos_192.168.50.6:46634","cos_192.168.50.6:46644","cos_192.168.50.6:46654","cos_192.168.50.7:46545","cos_192.168.50.7:46565","cos_192.168.50.7:46635","cos_192.168.50.7:46645","cos_192.168.50.7:46655","cos_192.168.50.8:46546","cos_192.168.50.8:46566","cos_192.168.50.8:46636","cos_192.168.50.8:46646","cos_192.168.50.8:46656","cos_192.168.50.9:46547","cos_192.168.50.9:46567","cos_192.168.50.9:46637","cos_192.168.50.9:46647","cos_192.168.50.9:46657","val_loss_192.168.50.10:46548","val_loss_192.168.50.10:46568","val_loss_192.168.50.11:46549","val_loss_192.168.50.11:46569","val_loss_192.168.50.2:46540","val_loss_192.168.50.2:46560","val_loss_192.168.50.3:46541","val_loss_192.168.50.3:46561","val_loss_192.168.50.4:46542","val_loss_192.168.50.4:46562","val_loss_192.168.50.5:46543","val_loss_192.168.50.5:46563","val_loss_192.168.50.6:46544","val_loss_192.168.50.6:46564","val_loss_192.168.50.7:46545","val_loss_192.168.50.7:46565","val_loss_192.168.50.8:46546","val_loss_192.168.50.8:46566","val_loss_192.168.50.9:46547","val_loss_192.168.50.9:46567"
"participant_0","finished","-","janousy","","2023-06-13T00:32:08.000Z","1242","","ipf4nrj9","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:50.000Z","2f1776459988","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.246650","Model Poisoning","salt","10","80","10","false","10","","","0.8423042297363281","0.8258399367332458","1.3485650631451289e+29","0.8552095293998718","0.8423042297363281","0.8609297871589661","0.8665643334388733","0.8981241583824158","0.8609297871589661","0.8400000333786011","0.8242063522338867","1.63756082127177e+26","0.830000102519989","0.8400000333786011","0.9067234992980956","0.9068204760551452","0.914802074432373","0.9067234992980956","0.8816535472869873","0.8671051263809204","1.029426179290304e+26","0.8872619271278381","0.8816535472869873","0.9032187461853028","0.9016167521476746","0.9077808260917664","0.9032187461853028","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","1","","","","","0.2467697262763977","","","","","0.9996743202209472","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_5","finished","-","janousy","","2023-06-13T00:31:05.000Z","1305","","ob5l3y18","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:50.000Z","92270a1f13a7","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.746655","Model Poisoning","salt","10","80","10","false","10","","","0.8697003722190857","0.8508737087249756","1.0597551404697649e+29","0.8800845146179199","0.8697003722190857","0.8919060826301575","0.8919389843940735","0.9102050065994264","0.8919060826301575","0.8916667103767395","0.8532900810241699","3.465977928623124e+26","0.8833334445953369","0.8916667103767395","0.8947985768318176","0.8956177830696106","0.9057841897010804","0.8947985768318176","0.8432804942131042","0.8303048610687256","1.1583240947774348e+26","0.8484987020492554","0.8432804942131042","0.8957187533378601","0.8964641094207764","0.906445860862732","0.8957187533378601","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","0.24665121734142303","","","","","1","","","","","1","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_3","finished","-","janousy","","2023-06-13T00:31:05.000Z","1305","","k7f3ot10","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:50.000Z","0b8b39b4969c","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.546653","Model Poisoning","salt","10","80","10","false","10","","","0.8210330605506897","0.8039385080337524","1.6535968813731277e+29","0.8346058130264282","0.8210330605506897","0.852668285369873","0.8545328974723816","0.8773735761642456","0.852668285369873","0.846666693687439","0.8323809504508972","7.397869330599627e+25","0.8350000977516174","0.846666693687439","0.904256284236908","0.9048612713813782","0.9121127128601074","0.904256284236908","0.8735846281051636","0.8620933294296265","8.16988770617726e+25","0.872015118598938","0.8735846281051636","0.9133644700050354","0.9142300486564636","0.919640839099884","0.9133644700050354","","","","","","","","","","","","","","","","","","","","","0","16096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","0.24665121734142303","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_4","finished","-","janousy","","2023-06-13T00:31:05.000Z","1304","","6ad8mbic","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:49.000Z","06c417f29f2e","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.646654","Model Poisoning","salt","10","80","10","false","10","","","0.800565779209137","0.7856904864311218","1.6765915949354945e+29","0.8178879022598267","0.800565779209137","0.8522303104400635","0.8557901382446289","0.8811990022659302","0.8522303104400635","0.9500001072883606","0.9555556178092957","1.73548351751265e+25","0.9800000786781312","0.9500001072883606","0.9092167615890504","0.9104116559028624","0.9182069897651672","0.9092167615890504","0.8375837802886963","0.8256072402000427","1.118644041470241e+26","0.8479585647583008","0.8375837802886963","0.8784562945365906","0.8796090483665466","0.8922492861747742","0.8784562945365906","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","0.24665121734142303","","","","","1","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_9","finished","-","janousy","","2023-06-13T00:31:05.000Z","1307","","3jbt18l3","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:52.000Z","fb4e1ab638c7","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.1146659","Model Poisoning","salt","10","80","10","false","10","","","0.8525424599647522","0.8363185524940491","1.3821718786678002e+29","0.8745598196983337","0.8525424599647522","0.8639611005783081","0.8660286068916321","0.8884020447731018","0.8639611005783081","0.9250000715255736","0.9380953311920166","2.8831477000584897e+25","0.9750001430511476","0.9250000715255736","0.916681170463562","0.9182427525520324","0.925925612449646","0.916681170463562","0.9053572416305542","0.9002437591552734","4.9671063540245775e+25","0.9139969944953918","0.9053572416305542","0.940649151802063","0.9418964385986328","0.9459151029586792","0.940649151802063","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","1","","","","","0.24681788682937625","","","","","1","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_6","finished","-","janousy","","2023-06-13T00:31:05.000Z","1307","","1rzgocfo","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:52.000Z","b9ca8f768afc","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.846656","Model Poisoning","salt","10","80","10","false","10","","","0.8526498079299927","0.8443664312362671","1.1733126594680455e+29","0.8757259845733643","0.8526498079299927","0.884895384311676","0.8876123428344727","0.9094029664993286","0.884895384311676","0.8650000691413879","0.8638889193534851","2.0948469368893153e+26","0.9064286351203918","0.8650000691413879","0.8947014212608337","0.8953738212585449","0.9042057991027832","0.8947014212608337","0.8387501239776611","0.8274601697921753","1.1898208034786491e+26","0.8534920811653137","0.8387501239776611","0.886990487575531","0.8885805010795593","0.8988996148109436","0.886990487575531","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","0.24665121734142303","","","","","1","","","","","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_7","finished","-","janousy","","2023-06-13T00:31:04.000Z","1307","","pohg05bl","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:51.000Z","f5c06ec7f052","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.946657","Model Poisoning","salt","10","80","10","false","10","","","0.8980109691619873","0.8869866132736206","1.0641147347594205e+29","0.909516215324402","0.8980109691619873","0.9016642570495604","0.9033865332603456","0.9213336110115052","0.9016642570495604","0.8750001192092896","0.8566234111785889","4.1049216769204575e+25","0.8500000238418579","0.8750001192092896","0.8974666595458984","0.899345338344574","0.9088990092277528","0.8974666595458984","0.8455424308776855","0.8318456411361694","9.56545214830646e+25","0.8616535663604736","0.8455424308776855","0.8752498030662537","0.8770685195922852","0.891302227973938","0.8752498030662537","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","1","","","","","0.2468179017305374","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","finished","-","janousy","","2023-06-13T00:31:04.000Z","1308","","mb2xwfmm","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:52.000Z","70391e5eacda","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.346651","Model Poisoning","salt","10","80","10","false","10","","","0.8124886155128479","0.7941239476203918","1.6554820500730893e+29","0.8364337086677551","0.8124886155128479","0.8375114798545837","0.8410139083862305","0.8716279864311218","0.8375114798545837","0.9500000476837158","0.9180952906608582","1.8070974673556051e+25","0.9166667461395264","0.9500000476837158","0.8973398804664612","0.897824227809906","0.9061849117279052","0.8973398804664612","0.9017989635467528","0.892307698726654","7.859335847359156e+25","0.909861147403717","0.9017989635467528","0.9212286472320556","0.9185709357261658","0.9242436289787292","0.9212286472320556","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","","","","","","0.24665121734142303","","","","","1","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_8","finished","-","janousy","","2023-06-13T00:31:04.000Z","1306","","eh9bgjnv","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:50.000Z","d2170b770979","","","","","","","No Attack","true","salt","10","0","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.1046658","Model Poisoning","salt","10","80","10","false","10","","","0.920269012451172","0.9083752632141112","5.338783118955048e+28","0.9299541115760804","0.920269012451172","0.9225828051567078","0.9220612049102784","0.9342686533927916","0.9225828051567078","0.930000066757202","0.9246032238006592","1.1374541864022026e+26","0.9250000715255736","0.930000066757202","0.8963280916213989","0.8975434899330139","0.9060854315757751","0.8963280916213989","0.8941404819488525","0.8804455399513245","8.390961788191429e+25","0.8966139554977417","0.8941404819488525","0.913840353488922","0.9096393585205078","0.9160304665565492","0.913840353488922","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","1","","","","","0.24681788682937625","","","","","1","","","","","1","","","","","1","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
"participant_2","finished","-","janousy","","2023-06-13T00:31:04.000Z","1304","","326w0eq3","MNIST_1_MLP_FlTrust_fully_ModelPoisoning_0_N10-S0_R80_salt_20230613_003033","","2023-06-13T07:12:09.000Z","2023-06-13T00:52:48.000Z","3135c44db640","","","","","","","Model Poisoning","true","salt","10","0.8","0","7","3","false","FlTrust","MNIST","true","MLP","192.168.50.446652","Model Poisoning","salt","10","80","10","false","10","","","0.2894726097583771","0.2332989126443863","27812592","0.28769704699516296","0.2894726097583771","0.30885571241378784","0.2692134976387024","0.5418322086334229","0.30885571241378784","0.8083333373069763","0.7632034420967102","2098814.5","0.8366667032241821","0.8083333373069763","0.8627607822418213","0.8640385866165161","0.877668559551239","0.8627607822418213","0.8585582375526428","0.8373284339904785","1079346","0.8527777791023254","0.8585582375526428","0.879213273525238","0.8756257891654968","0.879061222076416","0.879213273525238","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24681788682937625","","","","","0.24681788682937625","","","","","0.2467697262763977","","","","","0.24665121734142303","","","","","","","","","","0.24665121734142303","","","","","0.24665121734142303","","","","","0.24665121734142303","","","","","0.9904654026031494","","","","","0.2468179017305374","","","","","","","","","","","","","","","","","","","",""
