"Name","Test/ASR-backdoor","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","adversarial_args.attack_env.attack","adversarial_args.attack_env.noise_type","adversarial_args.attack_env.poisoned_node_percent","adversarial_args.attack_env.poisoned_ratio","adversarial_args.attack_env.poisoned_sample_percent","adversarial_args.attack_env.targeted","adversarial_args.attacks","adversarial_args.is_iid","adversarial_args.noise_type","adversarial_args.poisoned_node_percent","adversarial_args.poisoned_ratio","adversarial_args.poisoned_sample_percent","adversarial_args.target_changed_label","adversarial_args.target_label","adversarial_args.targeted","aggregator_args.algorithm","aggregator_args.sentinel_loss_threshold","aggregator_args.sentinelglobal_active_round","attack_env.attack","attack_env.noise_type","attack_env.poisoned_node_percent","attack_env.poisoned_ratio","attack_env.poisoned_sample_percent","attack_env.targeted","data_args.dataset","data_args.is_iid","model_args.model","network_args","avg_loss_192.168.50.10:46518","avg_loss_192.168.50.10:46528","avg_loss_192.168.50.10:46538","avg_loss_192.168.50.10:46548","avg_loss_192.168.50.10:46558","avg_loss_192.168.50.10:46568","avg_loss_192.168.50.10:46578","avg_loss_192.168.50.10:46588","avg_loss_192.168.50.10:46598","avg_loss_192.168.50.10:46608","avg_loss_192.168.50.10:46618","avg_loss_192.168.50.10:46628","avg_loss_192.168.50.10:46638","avg_loss_192.168.50.10:46648","avg_loss_192.168.50.10:46658","avg_loss_192.168.50.10:46668","avg_loss_192.168.50.10:46678","avg_loss_192.168.50.10:46688","avg_loss_192.168.50.10:46878","avg_loss_192.168.50.10:46888","avg_loss_192.168.50.10:46898","avg_loss_192.168.50.10:46908","avg_loss_192.168.50.10:46918","avg_loss_192.168.50.10:46928","avg_loss_192.168.50.10:46938","avg_loss_192.168.50.10:46948","avg_loss_192.168.50.10:46958","avg_loss_192.168.50.10:46968","avg_loss_192.168.50.10:46978","avg_loss_192.168.50.10:46988","avg_loss_192.168.50.10:46998","avg_loss_192.168.50.10:47008","avg_loss_192.168.50.10:47018","avg_loss_192.168.50.10:47028","avg_loss_192.168.50.10:47038","avg_loss_192.168.50.10:47048","avg_loss_192.168.50.11:46519","avg_loss_192.168.50.11:46529","avg_loss_192.168.50.11:46539","avg_loss_192.168.50.11:46549","avg_loss_192.168.50.11:46559","avg_loss_192.168.50.11:46569","avg_loss_192.168.50.11:46579","avg_loss_192.168.50.11:46589","avg_loss_192.168.50.11:46599","avg_loss_192.168.50.11:46609","avg_loss_192.168.50.11:46619","avg_loss_192.168.50.11:46629","avg_loss_192.168.50.11:46639","avg_loss_192.168.50.11:46649","avg_loss_192.168.50.11:46659","avg_loss_192.168.50.11:46669","avg_loss_192.168.50.11:46679","avg_loss_192.168.50.11:46689","avg_loss_192.168.50.11:46879","avg_loss_192.168.50.11:46889","avg_loss_192.168.50.11:46899","avg_loss_192.168.50.11:46909","avg_loss_192.168.50.11:46919","avg_loss_192.168.50.11:46929","avg_loss_192.168.50.11:46939","avg_loss_192.168.50.11:46949","avg_loss_192.168.50.11:46959","avg_loss_192.168.50.11:46969","avg_loss_192.168.50.11:46979","avg_loss_192.168.50.11:46989","avg_loss_192.168.50.11:46999","avg_loss_192.168.50.11:47009","avg_loss_192.168.50.11:47019","avg_loss_192.168.50.11:47029","avg_loss_192.168.50.11:47039","avg_loss_192.168.50.11:47049","avg_loss_192.168.50.2:46510","avg_loss_192.168.50.2:46520","avg_loss_192.168.50.2:46530","avg_loss_192.168.50.2:46540","avg_loss_192.168.50.2:46550","avg_loss_192.168.50.2:46560","avg_loss_192.168.50.2:46570","avg_loss_192.168.50.2:46580","avg_loss_192.168.50.2:46590","avg_loss_192.168.50.2:46600","avg_loss_192.168.50.2:46610","avg_loss_192.168.50.2:46620","avg_loss_192.168.50.2:46630","avg_loss_192.168.50.2:46640","avg_loss_192.168.50.2:46650","avg_loss_192.168.50.2:46660","avg_loss_192.168.50.2:46670","avg_loss_192.168.50.2:46680","avg_loss_192.168.50.2:46870","avg_loss_192.168.50.2:46880","avg_loss_192.168.50.2:46890","avg_loss_192.168.50.2:46900","avg_loss_192.168.50.2:46910","avg_loss_192.168.50.2:46920","avg_loss_192.168.50.2:46930","avg_loss_192.168.50.2:46940","avg_loss_192.168.50.2:46950","avg_loss_192.168.50.2:46960","avg_loss_192.168.50.2:46970","avg_loss_192.168.50.2:46980","avg_loss_192.168.50.2:46990","avg_loss_192.168.50.2:47000","Round","Test/ASR-targeted","Test/Accuracy","Test/F1Score","Test/Loss","Test/Precision","Test/Recall","TestEpoch/Accuracy","TestEpoch/F1Score","TestEpoch/Precision","TestEpoch/Recall","trainer/global_step"
"participant_0","0.0033482142857142855","finished","-","janousy","","2023-07-12T19:10:46.000Z","498","","fq9nbsim","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:04.000Z","5005bba197f6","","","","","","Sample Poisoning","salt","80","80","100","true","No Attack","true","salt","80","0","0","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.2:46510","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1629467636890081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.018691588785046728","0.949051558971405","0.9458381533622742","0.14931964874267578","0.9535216093063354","0.949051558971405","0.9666449427604676","0.9664220213890076","0.9665565490722656","0.9666449427604676","0"
"participant_5","0.8685082872928177","finished","-","janousy","","2023-07-12T19:09:49.000Z","559","","vzo9dhck","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:08.000Z","f84ddff1318c","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.7:46515","0.16108580972562778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16445745703327702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.021052631578947368","0.8862364292144775","0.8412871360778809","0.9308273792266846","0.8203762769699097","0.8862364292144775","0.8932647109031677","0.8526014089584351","0.9155063033103944","0.8932647109031677","0"
"participant_9","0.8652561247216035","finished","-","janousy","","2023-07-12T19:09:49.000Z","558","","u0yrprj9","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:07.000Z","448b91f60050","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.11:46519","0.11362717677850016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08771769059429062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","0.8715591430664062","0.8278039693832397","1.025592565536499","0.8140976428985596","0.8715591430664062","0.8799150586128235","0.8380804061889648","0.8951404094696045","0.8799150586128235","0"
"participant_8","0.8569832402234637","finished","-","janousy","","2023-07-12T19:09:49.000Z","556","","plu0gzuf","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:05.000Z","04b664190c77","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.10:46518","0.1287845465369719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22653048244304955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0","0.8933332562446594","0.8511719703674316","0.8976772427558899","0.8357796669006348","0.8933332562446594","0.8945304751396179","0.8534173369407654","0.9113810062408448","0.8945304751396179","0"
"participant_3","0.9284140969162996","finished","-","janousy","","2023-07-12T19:09:49.000Z","558","","olo682td","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:07.000Z","e148960a2daf","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.5:46513","0.10904135594555556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11543732173740864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.01098901098901099","0.8567126989364624","0.8123996257781982","0.8549556136131287","0.7981888651847839","0.8567126989364624","0.8799912929534912","0.844911515712738","0.9061959981918336","0.8799912929534912","0"
"participant_1","0.9388888888888888","finished","-","janousy","","2023-07-12T19:09:49.000Z","557","","k5b5isrs","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:06.000Z","76098d4f3bb7","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.3:46511","0.1452396147255786","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17333227036207974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.06060606060606061","0.8502841591835022","0.8084244132041931","1.1040900945663452","0.794589102268219","0.8502841591835022","0.8721957206726074","0.8331512212753296","0.8950068950653076","0.8721957206726074","0"
"participant_6","0.8600223964165733","finished","-","janousy","","2023-07-12T19:09:49.000Z","553","","cgp6xs03","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:02.000Z","86ed91ffb2e5","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.8:46516","0.15013422545940558","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.18696137322636783","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.018691588785046728","0.8634408116340637","0.8195761442184448","0.9919226765632628","0.8019828796386719","0.8634408116340637","0.8936886191368103","0.8486437797546387","0.9078177809715272","0.8936886191368103","0"
"participant_2","0.0033482142857142855","finished","-","janousy","","2023-07-12T19:09:49.000Z","556","","9ky9ceeh","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:01.000Z","2023-07-12T19:19:05.000Z","e6d026e9231e","","","","","","Sample Poisoning","salt","80","80","100","true","No Attack","true","salt","80","0","0","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.4:46512","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23524629747495057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.00925925925925926","0.9168394804000854","0.9091256856918336","0.21747010946273804","0.9134869575500488","0.9168394804000854","0.9607437252998352","0.9606064558029176","0.9611419439315796","0.9607437252998352","0"
"participant_7","0.8754171301446051","finished","-","janousy","","2023-07-12T19:09:48.000Z","560","","fgb2ryzi","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:02.000Z","2023-07-12T19:19:08.000Z","6b70fddf6ddc","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.9:46517","0.1526817191443115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.190079184701317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.04040404040404041","0.8873347043991089","0.8402506709098816","0.7541609406471252","0.8137559294700623","0.8873347043991089","0.8959219455718994","0.8508815169334412","0.8149653077125549","0.8959219455718994","0"
"participant_4","0.920704845814978","finished","-","janousy","","2023-07-12T19:09:48.000Z","556","","6ysl0y1r","MNIST_1_MLP_SentinelGlobal_fully_SamplePoisoning_1_N80-S100_R80_salt_20230712_190935","","2023-07-12T19:39:02.000Z","2023-07-12T19:19:04.000Z","f32f4cb9a235","","","","","","Sample Poisoning","salt","80","80","100","true","Sample Poisoning","true","salt","80","0.8","1","7","3","true","SentinelGlobal","0.5","3","Sample Poisoning","salt","80","80","100","true","MNIST","true","MLP","192.168.50.6:46514","0.12806796850054525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16050855437933934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Infinity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","0.03296703296703297","0.8208473324775696","0.7834745645523071","0.9985477328300476","0.7697054147720337","0.8208473324775696","0.8803101778030396","0.8424739837646484","0.9109482169151306","0.8803101778030396","0"
