"Name","adversarial_args.poisoned_sample_persent","adversarial_args.poisoned_ratio","adversarial_args.noise_type","adversarial_args.poisoned_node_persent","adversarial_args.targeted","GPU Type","GPU Count","Commit","GitHub","Description","Hostname","Sweep","Runtime","End Time","Updated","Tags","ID","State","Notes","User","Group","Job Type","Created","trainer/global_step","epoch","Validation/Loss","Validation/Accuracy","TrainEnd/Loss","Train/Loss","Test/Loss","Test/Accuracy","Round","network_args","model_args.model","data_args.dataset","aggregator_args.algorithm","adversarial_args.target_label","adversarial_args.target_changed_label","adversarial_args.attacks","adversarial_args.attack_env","data_args.is_iid","127.0.0.1:46510","127.0.0.1:46511","127.0.0.1:46512","127.0.0.1:46513","127.0.0.1:46514","127.0.0.1:46520","127.0.0.1:46521","127.0.0.1:46522","127.0.0.1:46523","127.0.0.1:46524","127.0.0.1:46524 127.0.0.1:46520","127.0.0.1:46530","127.0.0.1:46531","127.0.0.1:46532","127.0.0.1:46533","127.0.0.1:46534","127.0.0.1:46540","127.0.0.1:46541","127.0.0.1:46542","127.0.0.1:46543","127.0.0.1:46544","127.0.0.1:46550","127.0.0.1:46551","127.0.0.1:46552","127.0.0.1:46553","127.0.0.1:46554","cos@127.0.0.1:46505","cos@127.0.0.1:46506","cos@127.0.0.1:46507","cos@127.0.0.1:46508","cos@127.0.0.1:46509","cos@127.0.0.1:46510","cos@127.0.0.1:46511","cos@127.0.0.1:46512","cos@127.0.0.1:46513","cos@127.0.0.1:46514","cos@127.0.0.1:46515","cos@127.0.0.1:46516","cos@127.0.0.1:46517","cos@127.0.0.1:46518","cos@127.0.0.1:46519","cos@127.0.0.1:46520","cos@127.0.0.1:46521","cos@127.0.0.1:46522","cos@127.0.0.1:46523","cos@127.0.0.1:46524","cos@127.0.0.1:46525","cos@127.0.0.1:46526","cos@127.0.0.1:46527","cos@127.0.0.1:46528","cos@127.0.0.1:46529","cos@127.0.0.1:46535","cos@127.0.0.1:46536","cos@127.0.0.1:46537","cos@127.0.0.1:46538","cos@127.0.0.1:46539","cos@127.0.0.1:46540","cos@127.0.0.1:46541","cos@127.0.0.1:46542","cos@127.0.0.1:46543","cos@127.0.0.1:46544","cos@127.0.0.1:46545","cos@127.0.0.1:46546","cos@127.0.0.1:46547","cos@127.0.0.1:46548","cos@127.0.0.1:46549","cos@127.0.0.1:46550","cos@127.0.0.1:46551","cos@127.0.0.1:46552","cos@127.0.0.1:46553","cos@127.0.0.1:46554","val_acc@127.0.0.1:46505","val_acc@127.0.0.1:46506","val_acc@127.0.0.1:46507","val_acc@127.0.0.1:46508","val_acc@127.0.0.1:46509","val_acc@127.0.0.1:46510","val_acc@127.0.0.1:46511","val_acc@127.0.0.1:46512","val_acc@127.0.0.1:46513","val_acc@127.0.0.1:46514","val_acc@127.0.0.1:46515","val_acc@127.0.0.1:46516","val_acc@127.0.0.1:46517","val_acc@127.0.0.1:46518","val_acc@127.0.0.1:46519","val_acc@127.0.0.1:46520","val_acc@127.0.0.1:46521","val_acc@127.0.0.1:46522","val_acc@127.0.0.1:46523","val_acc@127.0.0.1:46524","val_acc@127.0.0.1:46525","val_acc@127.0.0.1:46526","val_acc@127.0.0.1:46527","val_acc@127.0.0.1:46528","val_acc@127.0.0.1:46529","val_acc@127.0.0.1:46535","val_acc@127.0.0.1:46536","val_acc@127.0.0.1:46537","val_acc@127.0.0.1:46538","val_acc@127.0.0.1:46539","val_acc@127.0.0.1:46540","val_acc@127.0.0.1:46541","val_acc@127.0.0.1:46542","val_acc@127.0.0.1:46543","val_acc@127.0.0.1:46544","val_acc@127.0.0.1:46545","val_acc@127.0.0.1:46546","val_acc@127.0.0.1:46547","val_acc@127.0.0.1:46548","val_acc@127.0.0.1:46549","val_acc@127.0.0.1:46550","val_acc@127.0.0.1:46551","val_acc@127.0.0.1:46552","val_acc@127.0.0.1:46553","val_acc@127.0.0.1:46554","val_loss@127.0.0.1:46505","val_loss@127.0.0.1:46506","val_loss@127.0.0.1:46507","val_loss@127.0.0.1:46508","val_loss@127.0.0.1:46509","val_loss@127.0.0.1:46510","val_loss@127.0.0.1:46511","val_loss@127.0.0.1:46512","val_loss@127.0.0.1:46513","val_loss@127.0.0.1:46514","val_loss@127.0.0.1:46515","val_loss@127.0.0.1:46516","val_loss@127.0.0.1:46517","val_loss@127.0.0.1:46518","val_loss@127.0.0.1:46519","val_loss@127.0.0.1:46520","val_loss@127.0.0.1:46521","val_loss@127.0.0.1:46522","val_loss@127.0.0.1:46523","val_loss@127.0.0.1:46524","val_loss@127.0.0.1:46525","val_loss@127.0.0.1:46526","val_loss@127.0.0.1:46527","val_loss@127.0.0.1:46528","val_loss@127.0.0.1:46529","val_loss@127.0.0.1:46535","val_loss@127.0.0.1:46536","val_loss@127.0.0.1:46537","val_loss@127.0.0.1:46538","val_loss@127.0.0.1:46539","val_loss@127.0.0.1:46540","val_loss@127.0.0.1:46541","val_loss@127.0.0.1:46542","val_loss@127.0.0.1:46543","val_loss@127.0.0.1:46544","val_loss@127.0.0.1:46545","val_loss@127.0.0.1:46546","val_loss@127.0.0.1:46547","val_loss@127.0.0.1:46548","val_loss@127.0.0.1:46549","val_loss@127.0.0.1:46550","val_loss@127.0.0.1:46551","val_loss@127.0.0.1:46552","val_loss@127.0.0.1:46553","val_loss@127.0.0.1:46554"
"participant_0","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","148","2023-05-10T13:00:54.000Z","2023-05-10T13:04:03.000Z","","iw92cloz","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145810","","2023-05-10T12:58:26.000Z","0","0","0.3974230885505676","0.8941666483879089","0.09364312887191772","0.05475620925426483","3.924314498901367","0.7979999780654907","5","127.0.0.146525","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8151792883872986","0.617924153804779","0.8163122534751892","0.6121490001678467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.878333330154419","0.9116666913032532","0.8725000023841858","0.8958333134651184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3416762948036194","0.3851044476032257","0.3354009687900543","0.41256996989250183","","","","","","","","","","","","","","","","","","","",""
"participant_3","0","0","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","148","2023-05-10T13:00:52.000Z","2023-05-10T13:04:03.000Z","","u4p37u3e","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145810","","2023-05-10T12:58:24.000Z","0","0","0.3557400703430176","0.8725000023841858","0.2570163309574127","0.3429272770881653","0.810444712638855","0.7950000166893005","5","127.0.0.146528","MLP","FASHIONMNIST","FedAvg","0","0","No Attack","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8163122534751892","0.7884282469749451","0.7884282469749451","","0.7911317944526672","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8258333206176758","0.8258333206176758","0.8258333206176758","","0.8174999952316284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7882137298583984","2.9589405059814453","2.9589405059814453","","2.651394844055176","","","","","","","","","","","","","","","","","","","",""
"participant_4","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","146","2023-05-10T13:00:50.000Z","2023-05-10T13:04:03.000Z","","booaodv7","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145810","","2023-05-10T12:58:24.000Z","0","0","0.33105456829071045","0.8983333110809326","0.11371950805187224","0.04836728423833847","2.927858829498291","0.7975000143051147","5","127.0.0.146529","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6122078895568848","0.8023691773414612","0.6023786664009094","0.8023691773414612","0.7096683979034424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8933333158493042","0.89083331823349","0.909166693687439","0.89083331823349","0.8833333253860474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3785988986492157","0.286102294921875","0.3705906569957733","0.286102294921875","0.38679203391075134","","","","","","","","","","","","","","","","","","","",""
"participant_1","0","0","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","146","2023-05-10T13:00:50.000Z","2023-05-10T13:04:03.000Z","","35lzz3yx","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145810","","2023-05-10T12:58:24.000Z","0","0","0.36393851041793823","0.8700000047683716","0.25580930709838867","0.2721654772758484","0.938705563545227","0.7705000042915344","5","127.0.0.146526","MLP","FASHIONMNIST","FedAvg","0","0","No Attack","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.788555920124054","","0.788555920124054","0.9511672854423524","0.7970287203788757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8016666769981384","","0.8016666769981384","0.8566666841506958","0.7858333587646484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.189279556274414","","3.189279556274414","0.39540526270866394","3.0190882682800293","","","","","","","","","","","","","","","","","","","",""
"participant_2","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","149","2023-05-10T13:00:53.000Z","2023-05-10T13:04:03.000Z","","0xhitjr9","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145810","","2023-05-10T12:58:24.000Z","0","0","0.3609856069087982","0.9066666960716248","0.10807199776172638","0.03038027137517929","3.1506803035736084","0.796999990940094","5","127.0.0.146527","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.617924153804779","0.788555920124054","","0.7884282469749451","0.6021595597267151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9083333611488342","0.8949999809265137","","0.8891666531562805","0.9133333563804626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3460828363895416","0.29983752965927124","","0.30271345376968384","0.3942001163959503","","","","","","","","","","","","","","","","","","","",""
"participant_0","0","0","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","146","2023-05-10T12:55:46.000Z","2023-05-10T13:04:03.000Z","","fcudjvrq","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145304","","2023-05-10T12:53:20.000Z","0","0","0.3675040304660797","0.8733333349227905","0.24799351394176483","0.3403576612472534","0.9336823225021362","0.8004999756813049","5","127.0.0.146520","MLP","FASHIONMNIST","FedAvg","0","0","No Attack","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7924368381500244","0.8053645491600037","0.9662675261497498","0.7912920117378235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7975000143051147","0.8216666579246521","0.824999988079071","0.8100000023841858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4029622077941895","3.909069299697876","0.7195454239845276","4.129804611206055","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","0","0","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","146","2023-05-10T12:55:43.000Z","2023-05-10T13:04:03.000Z","","rcdneoik","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145304","","2023-05-10T12:53:17.000Z","0","0","0.3265843093395233","0.8824999928474426","0.2570614218711853","0.17945601046085358","0.7174252867698669","0.8040000200271606","5","127.0.0.146523","MLP","FASHIONMNIST","FedAvg","0","0","No Attack","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9511924386024476","0.7925013899803162","0.8013066649436951","","0.7899713516235352","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8916666507720947","0.8008333444595337","0.8125","","0.7958333492279053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34043583273887634","5.250424385070801","4.463131427764893","","4.7302961349487305","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","147","2023-05-10T12:55:44.000Z","2023-05-10T13:04:03.000Z","","k0poh83s","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145304","","2023-05-10T12:53:17.000Z","0","0","0.40125057101249695","0.8891666531562805","0.11045416444540024","0.23579734563827515","4.8768391609191895","0.7720000147819519","5","127.0.0.146521","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7924368381500244","","0.6040568947792053","0.8382217884063721","0.6065106987953186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8966666460037231","","0.9024999737739564","0.8974999785423279","0.9066666960716248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3156774640083313","","0.3939075171947479","0.30778881907463074","0.376158207654953","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","146","2023-05-10T12:55:43.000Z","2023-05-10T13:04:03.000Z","","6eidk3c8","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145304","","2023-05-10T12:53:17.000Z","0","0","0.3650614023208618","0.9191666841506958","0.09724173694849014","0.1145472526550293","4.046647548675537","0.7940000295639038","5","127.0.0.146522","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8053645491600037","0.6040568947792053","","0.8001343607902527","0.643917977809906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8941666483879089","0.9075000286102296","","0.9041666388511658","0.9008333086967468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.30779531598091125","0.441588282585144","","0.29212865233421326","0.42387154698371887","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","0.8","0.9","salt","60","true","","","","https://github.com/janousy/fedstellar-robust/tree/229801f1917682c1ddd7a3bd4cc21da18c6dea50","","some-mba.fritz.box","","149","2023-05-10T12:55:46.000Z","2023-05-10T13:04:03.000Z","","2j467i58","finished","-","janousy","FASHIONMNIST_1_MLP_FedAvg_fully_SamplePoisoning_0_N60-S80_R90_salt_20230510_145304","","2023-05-10T12:53:17.000Z","0","0","0.37688666582107544","0.8958333134651184","0.12095104902982712","0.07858041673898697","4.6309380531311035","0.7875000238418579","5","127.0.0.146524","MLP","FASHIONMNIST","FedAvg","0","0","Sample Poisoning","Sample Poisoning","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7912920117378235","0.6065106987953186","0.643917977809906","0.7895640730857849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8949999809265137","0.8983333110809326","0.9083333611488342","0.8924999833106995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3291095495223999","0.47091156244277954","0.4003298580646515","0.3014112114906311","","","","","","","","","","","","","","","","","","","","","","","","","",""
